"id","catalog_number","description","main_image","additional_description","attributes"
"2208258","82000 OMS","ReelCraft 82000 OMS SS OPEN W/O HOSE & BUMPER 1/2 X 75ft 1500psi","product_images/22/08258/80000_OMS_IjLjPil.jpg","<div>\n        \n	\n		\n			 <h5>Dual Pedestal Stainless Steel Hose Reel</h5>\n		\n			 Reelcraft’s stainless steel hose reels are ideal for food processing, pre-rinse, wash down, chemical transfer and industrial-solvent handling. Also suitable for coastal, offshore and on-board ship in marine applications where the harsh environment of salt water spray requires the use of stainless hose reels. Swivel include Viton O-rings. Note: Standard latch parts are made from aluminum. Series 80000 and D80000 stainless reels have an aluminum fluid path. Stainless latch parts and fluid path are available as a standard option by placing a -S at the end of the part number. Example: OLS-S\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The steel guide arm and dual pedestal base are stamped with ribs and gussets and robotically welded to insure maximum strength and lightest possible weight. The unitized cast fluid path and ratchet reduce wearable parts and ease of assembly.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. </li>\n                <li>Long Life Drive Spring - The unitized cast aluminum fluid path with built in declutching arbor virtually eliminates possibility of leakage and spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quality Finish and Corrosions Resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>82000 OMS                     </td>\n			</tr><tr>\n				<th>Series</th><td>80000          </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>81        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/2""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.850      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>75</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>1500</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td>1/2 (F)NPTF</td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1/2 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>25.375""</td>\n		</tr><tr>\n			<th>B</th><td>24""</td>\n		</tr><tr>\n			<th>C</th><td>8.125""</td>\n		</tr><tr>\n			<th>D</th><td>10.5""</td>\n		</tr><tr>\n			<th>E</th><td>10""</td>\n		</tr><tr>\n			<th>F</th><td>6""</td>\n		</tr>\n	</table></div>",""
"2208266","LB312 103","ReelCraft LB312 103 BEVEL CRANK CORD REEL","product_images/22/08266/Ms1EoQV.png","<div>\n        \n        \n		\n			\n				 <h5>Heavy Duty Cord Reel</h5>\n			\n				 Reelcraft’s heavy duty Series 30000 live power cord reels keep long lengths of expensive electrical cord off the ground and out of harm’s way. The reels are constructed of heavy\n			\n		\n	\n        \n            <ul>\n                <li>Heavy Duty Collector Ring - A robust collector ring assures maximum conductivity current flow.</li>\n                <li>Quality Finish and Corrosions Resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li>\n                <li>Constructed of heavy gauge steel and assembled with vibration-proof, self-locking fasteners to ensure assembly integrity.</li>\n                <li>Suitable for indoor, non weather-tight applications only.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><table class=""description-table"">\n			<tr>\n				<th>A</th><td>20.25""</td>\n			</tr><tr>\n				<th>B</th><td>17.75""</td>\n			</tr><tr>\n				<th>C</th><td>9""</td>\n			</tr><tr>\n				<th>D</th><td>15.75""</td>\n			</tr><tr>\n				<th>E</th><td>29.375""</td>\n			</tr><tr>\n				<th>F</th><td>12""</td>\n			</tr>\n		</table>",""
"2208274","LE312 123 12D","ReelCraft LE312 123 12D MOTOR DRIVEN CORD REEL","product_images/22/08274/LE30000_BGkyOv6.jpg","<div>\n        \n        \n		\n			\n				 <h5>Heavy Duty Cord Reel</h5>\n			\n				 Reelcraft’s heavy duty Series 30000 live power cord reels keep long lengths of expensive electrical cord off the ground and out of harm’s way. The reels are constructed of heavy gauge steel and are assembled with vibrationproof, self-locking fasteners to ensure assembly integrity. They undergo a five-stage cleaning process and are individually powder-coated for the highest quality, corrosion-resistant paint adhesion. Suited for indoor, non weather-tight applications only. Live power cord reels have collector rings that allow the reel to wind/unwind the cord/cable with live current without twisting the wires. Live reels offer the advantage of using a reel as an effective piece of operating equipment rather than a simple device for the storage of cable or cord.\n			\n		\n	\n        \n            <ul>\n                <li>Heavy Duty Collector Ring - A robust collector ring assures maximum conductivity current flow.</li>\n                <li>Quality Finish and Corrosions Resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li>\n                <li>Constructed of heavy gauge steel and assembled with vibration-proof, self-locking fasteners to ensure assembly integrity.</li>\n                <li>Suitable for indoor, non weather-tight applications only.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><table class=""description-table"">\n			<tr>\n				<th>A</th><td>20.25""</td>\n			</tr><tr>\n				<th>B</th><td>17.75""</td>\n			</tr><tr>\n				<th>C</th><td>9""</td>\n			</tr><tr>\n				<th>D</th><td>15.75""</td>\n			</tr><tr>\n				<th>E</th><td>25""</td>\n			</tr><tr>\n				<th>F</th><td>12""</td>\n			</tr>\n		</table>",""
"2208282","STW3450 OLP","ReelCraft STW3450 OLP OXYGEN/ACETYLENE OPEN W/HOSE 1/4 X 50ft 200psi","product_images/22/08282/J7hYkm7.png","",""
"2208048","A5800 ELP","ReelCraft A5800 ELP SERIES 5000 ENCLOSED WITHOUT HOSE & BUMPER","product_images/22/08048/5435_ELP_1XhhXXd.jpg","<div>\n        \n	\n		\n			 <h5>Premium Duty Spring Retractable Hose Reel</h5>\n		\n			 Series 5000 reels are durable and compact for a wide range of applications with critical space requirements. A full flow shaft and swivel assures maximum product delivery.\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quite Speed Latch - The latch cam is designed for reliable quiet operation.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>A5800 ELP                     </td>\n			</tr><tr>\n				<th>Series</th><td>5000           </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>30        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/2""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.750      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>25</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>500</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td> </td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>3/8 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>150       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>15""</td>\n		</tr><tr>\n			<th>B</th><td>16.25""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>7""</td>\n		</tr>\n	</table></div>",""
"2208056","A5805 OLP","ReelCraft A5805 OLP SERIES 5005 OPEN WITHOUT HOSE & BUMPER","product_images/22/08056/5605_OLP_KfPRxc4.jpg","<div>\n        \n	\n		\n			 <h5>Premium Duty Spring Retractable Hose Reel</h5>\n		\n			 Series 5005 reels are durable and compact for a wide range of applications with critical space requirements. A full flow shaft and swivel assures maximum product delivery.\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quite Speed Latch - The latch cam is designed for reliable quiet operation.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>A5805 OLP                     </td>\n			</tr><tr>\n				<th>Series</th><td>5005           </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>32        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/2""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.750      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>35</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>500</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td> </td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>3/8 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>150       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>17.625""</td>\n		</tr><tr>\n			<th>B</th><td>16.5""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>5.875""</td>\n		</tr>\n	</table></div>",""
"2208060","A5835 OMP","ReelCraft A5835 OMP SERIES 5005 OPEN W/HOSE 1/2 X 35ft 3250psi","product_images/22/08060/A5835_OMP_H5QV8Lz.jpg","<div>\n        \n	\n		\n			 <h5>Premium Duty Spring Retractable Hose Reel</h5>\n		\n			 Series 5005 reels are durable and compact for a wide range of applications with critical space requirements. A full flow shaft and swivel assures maximum product delivery.\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quite Speed Latch - The latch cam is designed for reliable quiet operation.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>A5835 OMP                     </td>\n			</tr><tr>\n				<th>Series</th><td>5005           </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>42        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/2""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.750      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>35</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>3250</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td>1/2 (M)NPTF</td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>3/8 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>yes</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>17.625""</td>\n		</tr><tr>\n			<th>B</th><td>16.5""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>5.875""</td>\n		</tr>\n	</table></div>",""
"2208286","TW7450 OLP","ReelCraft TW7450 OLP OXYGEN/ACETYLENE OPEN W/HOSE 1/4 X 50ft 200psi","product_images/22/08286/TW7450_OLP.jpg","<div>\n        \n	\n		\n			 <h5>Spring Retractable Gas Welding Hose Reel</h5>\n		\n			 Reelcraft’s Series TW spring retractable gas welding hose reels have an independent dual swivel body manufactured from aluminum and hard coated for wear resistance. This unique design assures positive separation of gases. Double-sealed, special molded O-rings prevent leakage. Swivel body and inlet are both permanently identified with machined grooves on the acetylene side to assure proper installation. *For oxygen / acetylene only*\n		\n	\n\n        \n            <ul>\n                <li>Leak prevention - The double sealed, special molded o-rings prevent leakage.  The swivel inlets are both permanently identified with machined grooves on the gas side to assure proper installation.</li>\n                <li>Quality Finish and Corrosions Resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality.</li>\n                <li>Independent dual swivel body manufactured from aluminum and hard-coated for wear resistance assures positive separation of gases due to its unique design.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>TW7450 OLP                    </td>\n			</tr><tr>\n				<th>Series</th><td>TW             </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>50        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/4""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.530      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>50</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>200</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td>9/16 - 18(F)</td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1/4 NPT(F)</td>\n			</tr><tr>\n				<th>Hose Included</th><td>yes</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>150       </td>\n			</tr><tr>\n				<th>Warehouse</th><td>IN, CA, CN</td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>20.25""</td>\n		</tr><tr>\n			<th>B</th><td>19.75""</td>\n		</tr><tr>\n			<th>C</th><td>7.875""</td>\n		</tr><tr>\n			<th>D</th><td>3.875""</td>\n		</tr><tr>\n			<th>E</th><td>7.375""</td>\n		</tr>\n	</table></div>",""
"2208290","TW5400 OLPT","ReelCraft TW5400 OLPT FUEL GAS REEL OPEN WITHOUT HOSE&BUMPER","product_images/22/08290/bddd7kV.png","<div>\n        \n	\n		\n			 <h5>Spring Retractable Gas Welding Hose Reel</h5>\n		\n			 Reelcraft’s Series TW spring retractable gas welding hose reels have an independent dual swivel body manufactured from aluminum and hard coated for wear resistance. This unique design assures positive separation of gases. Double-sealed, special molded O-rings prevent leakage. Swivel body and inlet are both permanently identified with machined grooves on the acetylene side to assure proper installation. \n		\n	\n\n        \n            <ul>\n                <li>Leak prevention - The double sealed, special molded o-rings prevent leakage.  The swivel inlets are both permanently identified with machined grooves on the gas side to assure proper installation.</li>\n                <li>Quality Finish and Corrosions Resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality.</li>\n                <li>T-grade capability - The seals and hoses are T-grade for use with a variety of welding gases including mapp, propane, natural, and fuel gases.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>TW5400 OLPT                   </td>\n			</tr><tr>\n				<th>Series</th><td>TW             </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>22        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/4""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.530      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>25</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>200</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td>9/16 - 18(M)</td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1/4 NPT(F)</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>150       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>14.5""</td>\n		</tr><tr>\n			<th>B</th><td>13.75""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>6""</td>\n		</tr>\n	</table></div>",""
"2208294","TW7460 OLPT","ReelCraft TW7460 OLPT FUEL GAS REEL W/HOSE&BUMPER 1/4 X 60ft-200psi","product_images/22/08294/TW7450_OLP.jpg","<div>\n        \n	\n		\n			 <h5>Spring Retractable Gas Welding Hose Reel</h5>\n		\n			 Reelcraft’s Series TW spring retractable gas welding hose reels have an independent dual swivel body manufactured from aluminum and hard coated for wear resistance. This unique design assures positive separation of gases. Double-sealed, special molded O-rings prevent leakage. Swivel body and inlet are both permanently identified with machined grooves on the acetylene side to assure proper installation.\n		\n	\n\n        \n            <ul>\n                <li>Leak prevention - The double sealed, special molded o-rings prevent leakage.  The swivel inlets are both permanently identified with machined grooves on the gas side to assure proper installation.</li>\n                <li>Quality Finish and Corrosions Resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality.</li>\n                <li>T-grade capability - The seals and hoses are T-grade for use with a variety of welding gases including mapp, propane, natural, and fuel gases.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>TW7460 OLPT                   </td>\n			</tr><tr>\n				<th>Series</th><td>TW             </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>55        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/4""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.530      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>60</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>200</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td>9/16 - 18(F)</td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1/4 NPT(F)</td>\n			</tr><tr>\n				<th>Hose Included</th><td>yes</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>150       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>20.25""</td>\n		</tr><tr>\n			<th>B</th><td>19.75""</td>\n		</tr><tr>\n			<th>C</th><td>7.875""</td>\n		</tr><tr>\n			<th>D</th><td>3.875""</td>\n		</tr><tr>\n			<th>E</th><td>7.375""</td>\n		</tr>\n	</table></div>",""
"2208302","TBL 10","ReelCraft TBL 10 TOOL BALAN. HVY DUTY W/LOCK 5.0-10.0LBS LOAD/8ft","product_images/22/08302/deG98a8.png","",""
"2208322","1-HS1004-A","ReelCraft 1-HS1004-A HOSE BUMPER ASSEMBLY (1/4 I.D. HOSE ST. STEEL 5000)","product_images/22/08322/EF1MZSu.png","",""
"2208338","601014-100","ReelCraft 601014-100 HOSE- PVC- 3/8 X 100FT 1/4 X 1/2 NPTF(M)- 300 PSI","product_images/22/08338/pzBNVJz.png","",""
"2208370","URD9200 OLBBW70","ReelCraft URD9200 OLBBW70 HOSE REEEL ASSEMBLY","product_images/22/08370/E9400_OLPBW.jpg","<div>\n        \n        \n		\n			\n				 <h5>Spring Retractable DEF Hose Reel</h5>\n			\n				 Reelcraft introduces its DEF Dispensing line of spring retractable hose reels. Designed to aide in the dispensing of Diesel Emissions Fluid (DEF) for late model diesel engines, these reels are an integral part in emerging DEF service stations in marinas, truck stops and garages. This sort of dispensing equipment is going to become more prevalent across the United States as the push for greener emissions standards escalates. Reelcraft is offering a solution.\n			\n		\n	\n        \n            <ul>\n                <li>Corrosion Resistance - Internal fluid path parts are made from 304L grade stainless steel and features Viton o-rings. Carbon steel parts receive a uniform polyester powder coat prior to assembly.</li>\n                <li>Convenience - Reels keep longer lengths of hose in an organized manor and make it easier to access hard to reach fuel tanks.</li>\n                <li>Integration - We offer National Pipe Thread fittings as well as British Parallel to ensure that the reel will integrate with other components of your DEF system.</li>\n                <li>Extended Hose Life - Reel stores expensive hose up and out of harms way greatly extending the service life of hose.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n				<tr>\n					<th>Part Number</th><td>URD9200 OLBBW70</td>\n				</tr><tr>\n					<th>Series</th><td>9000</td>\n				</tr><tr>\n					<th>Weight (lbs)</th><td>115       </td>\n				</tr><tr>\n					<th>Hose I.D. (in)</th><td>1/2""</td>\n				</tr><tr>\n					<th>Hose O.D. (in)</th><td>          </td>\n				</tr><tr>\n					<th>Hose Length (ft)</th><td>75</td>\n				</tr><tr>\n					<th>Pressure (psi)</th><td>500</td>\n				</tr><tr>\n					<th>Outlet (in)</th><td> </td>\n				</tr><tr>\n					<th>Inlet (in)</th><td>1/2 (F)BSPP</td>\n				</tr><tr>\n					<th>Hose Included</th><td>no</td>\n				</tr><tr>\n					<th>Max Temperature (°F)</th><td>150       </td>\n				</tr><tr>\n					<th>Warehouse</th><td> </td>\n				</tr>\n			</table><table class=""description-table"">\n			<tr>\n				<th>A</th><td>26.375""</td>\n			</tr><tr>\n				<th>B</th><td>26.25""</td>\n			</tr><tr>\n				<th>C</th><td>22.25""</td>\n			</tr><tr>\n				<th>D</th><td>7.75""</td>\n			</tr><tr>\n				<th>E</th><td>12""</td>\n			</tr><tr>\n				<th>F</th><td>24.125""</td>\n			</tr><tr>\n				<th>G</th><td>4.75""</td>\n			</tr>\n		</table></div>",""
"2208374","7600 OMS55","ReelCraft 7600 OMS55 HOSE REEL 3/8 X 66FT SS OIL W/OUT HOSE (69555)","product_images/22/08374/7800_OLS_46DXfuF.jpg","<div>\n        \n	\n		\n			 <h5>Spring Retractable Stainless Steel Hose Reel</h5>\n		\n			 Reelcraft’s stainless steel hose reels are ideal for food processing, pre-rinse, wash down, chemical transfer and industrial-solvent handling. Also suitable for coastal, offshore and on-board ship in marine applications where the harsh environment of salt water spray requires the use of stainless hose reels. Swivel include Viton O-rings. Note: Standard latch parts are made from aluminum. Series 80000 and D80000 stainless reels have an aluminum fluid path. Stainless latch parts and fluid path are available as a standard option by placing a -S at the end of the part number. Example: OLS-S\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The steel guide arm and base are stamped with ribs and gussets to insure maximum strength and lightest possible weight.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quality Finish and Corrosions Resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>7600 OMS55</td>\n			</tr><tr>\n				<th>Series</th><td>7000</td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>42        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>3/8""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.710      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>66</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>3000</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td>3/8 (F)NPTF</td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>3/8 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>20.25""</td>\n		</tr><tr>\n			<th>B</th><td>19.75""</td>\n		</tr><tr>\n			<th>C</th><td>7.8125""</td>\n		</tr><tr>\n			<th>D</th><td>3.875""</td>\n		</tr><tr>\n			<th>E</th><td>7""</td>\n		</tr>\n	</table></div>",""
"2208378","D9405 OLPBW","ReelCraft D9405 OLPBW HOSE REEL ASSEMBLY 1 X 65FT AIR/WATER W/OUT HOSE - 500 PSI","product_images/22/08378/E9400_OLPBW_q0qQ15z.jpg","<div>\n        \n	\n		\n			 <h5>Ultimate Duty Spring Retractable Reel</h5>\n		\n			 Series 9000 mobile base reels offer the greatest amount of stability for high volume air, water, diesel fuel and gasoline. Ideal for portable service trucks, permanent service or plant work areas. A durable baked-on powder coat finish produces a rugged corrosion resistant product suitable for a wide variety of heavy duty applications.\n		\n	\n\n        \n            <ul>\n                <li>Substantial Base Frame - The full width frame has the greatest amount of mounting area and overall strength of reels within its class.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Robust Latching mechanism - Latch and ratchet are made of heavy duty cast aluminum with substantial surface area to limit the opportunity for premature wear.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>D9405 OLPBW</td>\n			</tr><tr>\n				<th>Series</th><td>9000           </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>115       </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>1.375     </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>65</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>500</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td> </td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>150       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>26.375""</td>\n		</tr><tr>\n			<th>B</th><td>26.25""</td>\n		</tr><tr>\n			<th>C</th><td>22.25""</td>\n		</tr><tr>\n			<th>D</th><td>7.75""</td>\n		</tr><tr>\n			<th>E</th><td>13.375""</td>\n		</tr><tr>\n			<th>F</th><td>24.125""</td>\n		</tr><tr>\n			<th>G</th><td>4.5""</td>\n		</tr>\n	</table></div>",""
"2208382","600962","ReelCraft 600962 1/2in GARDEN HOSE CONVERSION KIT","product_images/22/08382/X4b8M0z.png","",""
