id;catalog_number;description;add_descr;img_url;attributes
865040;ZOD0120A;ZOD0120A 120 PPR 0.25 inch thru-bore;nan;product_images/86/5040/zod-zoh-200.jpg;nan
2302958;PXU21A20;PXU21A20 1/16 CNTL SSRLY485USRAC;nan;product_images/23/02958/default_2302958.jpg;nan
1284936;MPAXR020;MPAXR020 LPAX PAXR AC ACCESS. BD;nan;product_images/12/84936/MPAX-200.GIF;nan
1858904;2ZR6BB-X;2ZR6BB-X MM SC-SC FIBER CABLE;nan;product_images/18/58904/default_1858904.jpg;nan
1357422;102MC-SC;102MC-SC 102MC-SC MEDIA CONVERTER;nan;product_images/13/57422/102mc-fl.jpg;nan
1357434;EB-PSE-48V-2B;EB-PSE-48V-2B Ebus2-portPOEinj48V-48VSP;nan;product_images/13/57434/EB-PSE-48V-2.jpg;nan
1357550;NTPS-48-5;NTPS-48-5 48VDC 5.0 AMP PS (POE/HV);nan;product_images/13/57550/NTPS-48-2.jpg;nan
1358059;7506GX2-LX-10;7506GX2-LX-10 7506GX2-LX-10 GB SWITCH;nan;product_images/13/58059/1875;nan
2302943;ET-8MG-OEM-HSK1;ET-8MG-OEM-HSK1 HEAT-SINK KIT1 CONDUCTIVE;nan;product_images/23/02943/6681;nan
2302951;PXU10030;PXU10030 1/8 CNTL RLY AC;nan;product_images/23/02951/PXU16-200_1.jpg;nan
2302955;PXU209B0;PXU209B0 1/16SS485DC;nan;product_images/23/02955/PXU18-200_0_0.jpg;nan
2302959;PXU31A20;PXU31A20 1/16 CNTL 20MA RLY485USRAC;nan;product_images/23/02959/default_2302959.jpg;nan
2302967;ANT-G21B301111;ANT-G21B301111 Antenna 2G/3G low profile direct permanent mount IP65 with SMA connector 3 meter cable;nan;product_images/23/02967/default_2302967.jpg;nan
2302984;ST-1131-32*;ST-1131-32* ISAGRAF WB32 I/Ow/Softkey;nan;product_images/23/02984/default_2302984.jpg;nan
2302988;ET-8MG-OEM-TF;ET-8MG-OEM-TF 8MG OEM Test fixture;nan;product_images/23/02988/default_2302988.jpg;nan
2302992;RAM-9611-VZ;RAM-9611-VZ RAM 9000 Cellular RTU with Verizon 3G carrier two Ethernet ports;nan;product_images/23/02992/default_2302992.jpg;nan
2302996;RAM-9731-AT;RAM-9731-AT RAM 9000 Cellular RTU with AT&T carrier two Ethernet ports and Wi-Fi;nan;product_images/23/02996/default_2302996.jpg;nan
2303000;ET-8EG-MIL-1;ET-8EG-MIL-1 8P Unmanaged IP67 SW;nan;product_images/23/03000/ET-5RS-IP67-D1_L_0.jpg;nan
2303008;MIL318-CCCC-MM;MIL318-CCCC-MM 18P Gigabit IP67 managed Layer 3 SW MMF;nan;product_images/23/03008/MIL316_R_sm_0.jpg;nan
1284937;MPAXC030;MPAXC030 LPAX PAXC DC ACCESS. BD;nan;product_images/12/84937/MPAX-200.GIF;nan
1284949;PAXI0030;PAXI0030 PAX COUNTER/RATEDCRED;nan;product_images/12/84949/paxc-paxi-200.GIF;nan
1284953;PAXR0030;PAXR0030 PAX RATEDCRED;nan;product_images/12/84953/Paxr-200.GIF;nan
1284967;ZMH2500B;ZMH2500B ZM .375^SFT 2500PPR QD 2M;nan;product_images/12/84967/zmh-200.gif;nan
286279;APLRI630;APLRI630 APL-RI (6D) 24VDC;nan;product_images/28/6279/default_286279.jpg;nan
286313;APSIS000;APSIS000 24VDC PWR SUP I SRC 115V;nan;product_images/28/6313/apscm-200.gif;nan
286367;C48CB104;C48CB104 C48C (3PBSRCRLY);nan;product_images/28/6367/c48_qB1gyT0.jpg;nan
286375;C48CD002;C48CD002 C48C (2PRRLY);"<h5>Description</h5><p>The C48CD002 has dual presets. The C48C features a 7 segment, 2 line by 6 digit reflective LCD display. The main display line shows the count value. The smaller secondary display line can be used to view the prescaler value, preset values, or output time values.</p> <p>The C48CD has two outputs that are activated from presets 1 and 2 respectively. These outputs are relay outputs. All relay output boards are field replaceable.</p> <p>The C48C offers a choice of nine programmable counting modes for use in applications requiring bi-directional, anti-coincidence, and quadrature counting. The unit may be programmed to register counts on both edges of the input signal providing frequency doubling capability. DIP switches are used for input configuration set-up and to provide a Program Disable function.</p> <p>Four front panel push-buttons are used for programming the operating modes and data values, changing the viewed display, and performing user programmable functions, i.e. reset, etc. The C48C can be configured for one of two numeric data entry methods, digit entry or automatic scrolling. The digit entry method allows for the selection and incrementing of digits individually. The automatic scrolling method allows for the progressive change of one through all digit positions by pressing and holding the 'up' or 'down' button.</p> <p>The C48 Counter has programmable User Inputs and a programmable front panel function key. The user inputs can be configured as sinking (active low) or sourcing (active high) inputs via a single plug jumper.</p> <p>The Program Disable DIP switch, a user-programmable code value, an external user input (selected for Program Disable), and the Accessible value parameters can all be utilized to provide multi-level protection against unauthorized changes to data values and unit configuration.</p> <p>The unit is constructed of a lightweight, high impact plastic case with a textured front panel and a clear display window. The front panel meets NEMA 4X/IP65 specifications for indoor use, when properly installed. Multiple units can be stacked horizontally or vertically. Modern surface-mount technology, extensive testing, plus high immunity to noise interference makes the C48 Counters extremely reliable in industrial environments.</p><h5>Specifications</h5><div><p>• Dual Preset Version\n• 50 mm x 50 mm\n• 2 Line, 6 Character Reflective LCD\n• Bi-Directional and Quadrature Counting\n• Dual Relays Outputs\n• Up to 11 KHz\n• NEMA 4X/IP65\n </p>\n</div><h5>Accessories</h5><div>\n            <table class=""description-table"">\n          <tr>\n      \n          <th>ENC11000</th>          \n          <td>ENC11 NEMA 4/IP65 1/16 DIN Enclosure</td>    </tr>\n  <tr>\n      \n          <th>ENC11A00</th>          \n          <td>ENC11A NEMA 4X/IP65 Enclosure for one 1/16 DIN Meter</td>    </tr>\n  <tr>\n      \n          <th>ENC11B00</th>          \n          <td>ENC11B NEMA 4X/IP65 Enclosure for two 1/16 DIN Meter</td>    </tr>\n  <tr>\n      \n          <th>ENC30000</th>          \n          <td>ENC3 Legend/Libra/C48/P48/P16/T16/T48/PXV Enclosure NEMA 1</td>    </tr>\n    <tr>\n      \n          <th>TCM10000</th>          \n          <td>TCM1 Triac Converter Module, 115 VAC</td>    </tr>\n  <tr>\n      \n          <th>VCM10000</th>          \n          <td>VCM1 Voltage Converter Module, 450 V AC/DC</td>    </tr>\n  <tr>\n      \n          <th>VCM20000</th>          \n          <td>VCM2 Voltage Converter Module, 50270 V AC/DC</td>    </tr>\n    <tr>\n      \n          <th>BMK30000</th>          \n          <td>BMK3 Base Mount Kit for Legend Libra, T16, P16, T48, P48, C48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMK3C000</th>          \n          <td>PMK3C C48, T48, P16, T16 and PXU Mounting Panel</td>    </tr>\n  <tr>\n      \n          <th>PMK60000</th>          \n          <td>PMK6 Panel Mount Adapter Kit (1/8 DIN  to 1/16 DIN)</td>    </tr>\n  <tr>\n      \n          <th>PMK70000</th>          \n          <td>PMK7 Panel Mount Adapter Kit (1/4 DIN  to 1/16 DIN)</td>    </tr>\n  <tr>\n      \n          <th>PMKCC100</th>          \n          <td>PMKCC1 50 x 50 mm Panel Mount 3 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMKCC200</th>          \n          <td>PMKCC2 72 x 72 mm Panel Mount 3 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMKCC300</th>          \n          <td>PMKCC3 60 x 75 mm Panel Mount 2 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PNL3F000</th>          \n          <td>PNL3F Panel for 1/16 DIN Units</td>    </tr>\n  <tr>\n      \n          <th>PNL3G000</th>          \n          <td>PNL3G Panel for 1/16 DIN Units with Keylock</td>    </tr>\n    <tr>\n      \n          <th>RBC48001</th>          \n          <td>C48 Replacement Board 1 Preset NPNOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48002</th>          \n          <td>C48 Replacement Board 1 Preset PNPOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48003</th>          \n          <td>C48 Replacement Board 2 Preset Relay</td>    </tr>\n  <tr>\n      \n          <th>RBC48004</th>          \n          <td>C48 Replacement Board 3 Preset Relay NPNOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48005</th>          \n          <td>C48 Replacement Board 3 Preset Relay PNPOC</td>    </tr>\n    <tr>\n      \n          <th>SNUB0000</th>          \n          <td>SNUB RC Snubber Inductive Load Supressor</td>    </tr>\n    </table>\n  \n  \n  \n  \n  \n  \n</div>";product_images/28/6375/c48-lcd.jpg;nan
286387;C48CD110;C48CD110 C48C DC (2PBSNK);"<h5>Description</h5><p>The C48CD110 has dual presets. The C48C features a 7 segment, 2 line by 6 digit backlit LCD display. For the backlit versions, the main display line is red and shows the count value. The smaller secondary display line is green and can be used to view the prescaler value, preset values, or output time values.</p> <p>The C48CD has two outputs that are activated from presets 1 and 2 respectively. The&#160;solid-state outputs are NPN current sinking, open-collector transistor outputs.</p> <p>The C48C offers a choice of nine programmable counting modes for use in applications requiring bi-directional, anti-coincidence, and quadrature counting. The unit may be programmed to register counts on both edges of the input signal providing frequency doubling capability. DIP switches are used for input configuration set-up and to provide a Program Disable function.</p> <p>Four front panel push-buttons are used for programming the operating modes and data values, changing the viewed display, and performing user programmable functions, i.e. reset, etc. The C48C can be configured for one of two numeric data entry methods, digit entry or automatic scrolling. The digit entry method allows for the selection and incrementing of digits individually. The automatic scrolling method allows for the progressive change of one through all digit positions by pressing and holding the 'up' or 'down' button.</p> <p>The C48 Counter has programmable User Inputs and a programmable front panel function key. The user inputs can be configured as sinking (active low) or sourcing (active high) inputs via a single plug jumper.</p> <p>The Program Disable DIP switch, a user-programmable code value, an external user input (selected for Program Disable), and the Accessible value parameters can all be utilized to provide multi-level protection against unauthorized changes to data values and unit configuration.</p> <p>The unit is constructed of a lightweight, high impact plastic case with a textured front panel and a clear display window. The front panel meets NEMA 4X/IP65 specifications for indoor use, when properly installed. Multiple units can be stacked horizontally or vertically. Modern surface-mount technology, extensive testing, plus high immunity to noise interference makes the C48 Counters extremely reliable in industrial environments.</p><h5>Specifications</h5><div><p>• Dual Preset Version\n• 50 mm x 50 mm\n• 2 Line, 6 Character Transmissive LCD w/Backlighting\n• Red Top Line and Green Bottom Line Display\n• Bi-Directional and Quadrature Counting\n• Dual NPN OC Outputs\n• Up to 11 KHz\n• NEMA 4X/IP65\n </p>\n</div><h5>Accessories</h5><div>\n            <table class=""description-table"">\n          <tr>\n      \n          <th>ENC11000</th>          \n          <td>ENC11 NEMA 4/IP65 1/16 DIN Enclosure</td>    </tr>\n  <tr>\n      \n          <th>ENC11A00</th>          \n          <td>ENC11A NEMA 4X/IP65 Enclosure for one 1/16 DIN Meter</td>    </tr>\n  <tr>\n      \n          <th>ENC11B00</th>          \n          <td>ENC11B NEMA 4X/IP65 Enclosure for two 1/16 DIN Meter</td>    </tr>\n  <tr>\n      \n          <th>ENC30000</th>          \n          <td>ENC3 Legend/Libra/C48/P48/P16/T16/T48/PXV Enclosure NEMA 1</td>    </tr>\n    <tr>\n      \n          <th>TCM10000</th>          \n          <td>TCM1 Triac Converter Module, 115 VAC</td>    </tr>\n  <tr>\n      \n          <th>VCM10000</th>          \n          <td>VCM1 Voltage Converter Module, 450 V AC/DC</td>    </tr>\n  <tr>\n      \n          <th>VCM20000</th>          \n          <td>VCM2 Voltage Converter Module, 50270 V AC/DC</td>    </tr>\n    <tr>\n      \n          <th>BMK30000</th>          \n          <td>BMK3 Base Mount Kit for Legend Libra, T16, P16, T48, P48, C48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMK3C000</th>          \n          <td>PMK3C C48, T48, P16, T16 and PXU Mounting Panel</td>    </tr>\n  <tr>\n      \n          <th>PMK60000</th>          \n          <td>PMK6 Panel Mount Adapter Kit (1/8 DIN  to 1/16 DIN)</td>    </tr>\n  <tr>\n      \n          <th>PMK70000</th>          \n          <td>PMK7 Panel Mount Adapter Kit (1/4 DIN  to 1/16 DIN)</td>    </tr>\n  <tr>\n      \n          <th>PMKCC100</th>          \n          <td>PMKCC1 50 x 50 mm Panel Mount 3 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMKCC200</th>          \n          <td>PMKCC2 72 x 72 mm Panel Mount 3 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PMKCC300</th>          \n          <td>PMKCC3 60 x 75 mm Panel Mount 2 Piece Kit for C48, T48 and PXU</td>    </tr>\n  <tr>\n      \n          <th>PNL3F000</th>          \n          <td>PNL3F Panel for 1/16 DIN Units</td>    </tr>\n  <tr>\n      \n          <th>PNL3G000</th>          \n          <td>PNL3G Panel for 1/16 DIN Units with Keylock</td>    </tr>\n    <tr>\n      \n          <th>RBC48001</th>          \n          <td>C48 Replacement Board 1 Preset NPNOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48002</th>          \n          <td>C48 Replacement Board 1 Preset PNPOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48003</th>          \n          <td>C48 Replacement Board 2 Preset Relay</td>    </tr>\n  <tr>\n      \n          <th>RBC48004</th>          \n          <td>C48 Replacement Board 3 Preset Relay NPNOC</td>    </tr>\n  <tr>\n      \n          <th>RBC48005</th>          \n          <td>C48 Replacement Board 3 Preset Relay PNPOC</td>    </tr>\n    <tr>\n      \n          <th>SNUB0000</th>          \n          <td>SNUB RC Snubber Inductive Load Supressor</td>    </tr>\n    </table>\n  \n  \n  \n  \n  \n  \n</div>";product_images/28/6387/c48_KnLmi6J.jpg;nan
286403;LX******;LX%00000 LPAX LABEL: %;nan;product_images/28/6403/lscb-200.gif;nan
286491;PMKCC200;PMKCC200 1/16 DIN - 68x68mm PANEL;nan;product_images/28/6491/pmkcc1-200.gif;nan
286506;LCM10000;LCM10000 LOGIC CONVERSION MOD;nan;product_images/28/6506/ITMS-200.GIF;nan
286511;RLY30000;RLY30000 RELAY 115V PLUG-IN;nan;product_images/28/6511/rly.gif;nan
286540;SCUB2000;SCUB2000 SUB-CUB 2;"<h5>Description</h5><p>As a completely self-contained counter/display module, SUBCUBs can be treated as a component just like any other I.C. The modules contain a custom counter/driver chip that performs all the counting functions together with a 6-digit LCD readout. The latchable display with the separate reset function permits these modules to be used as frequency or rate meters, timers, phase-angle or pulse width indicators and for other complex readout requirements in addition to simple high speed counting.</p><p>These modules are ideal for internal 'on-board' applications where a readout of count, frequency, time, etc. is needed within a circuit enclosure for maintenance, diagnostic, tune-up, or other data readout requirements. The SUBCUB2, with its larger display, can also be mounted with a convenient bezel kit to provide a very flexible and economical panel instrument. SUBCUBs snap-mount directly on any 1/16' P.C. Board that has been etched to provide a mating interconnect pad pattern with two mounting holes and a polarizing 'key' hole. Interconnections to the P.C. Board as well as internal connections are made with elastomeric connectors that provide corrosion-proof, gas tight, interface contacts for high reliability.</p><h5>Specifications</h5><div><ul><li>Display/Counter Module</li>\n<li>26 mm x 48 mm</li>\n<li>6 Digit, 0.35"" (8.9 mm) LCD</li>\n<li>Solderless Elastomeric Interconnects</li>\n<li>Ultra-low Power</li>\n<li>Latchable Display w/Leading Zero Blanking</li>\n<li>Count Rates to 10 KHz</li>\n</ul></div><h5>Accessories</h5><div>\n            <table class=""description-table"">\n          <tr>\n      \n          <th>HWK70000</th>          \n          <td>MDM Cable Assembly for MDMU &amp; MDMV</td>    </tr>\n    <tr>\n      \n          <th>TCM10000</th>          \n          <td>TCM1 Triac Converter Module, 115 VAC</td>    </tr>\n  <tr>\n      \n          <th>VCM10000</th>          \n          <td>VCM1 Voltage Converter Module, 450 V AC/DC</td>    </tr>\n  <tr>\n      \n          <th>VCM20000</th>          \n          <td>VCM2 Voltage Converter Module, 50270 V AC/DC</td>    </tr>\n    <tr>\n      \n          <th>HWK30000</th>          \n          <td>Panel Bezel Kit without PC Board &amp; Cable for SCUB2</td>    </tr>\n  <tr>\n      \n          <th>HWK40000</th>          \n          <td>SCUB2 Panel Bezel Kit with PC Board &amp; Cable</td>    </tr>\n    <tr>\n      \n          <th>DMOSCB02</th>          \n          <td>SubCub Mounting P.C. Board</td>    </tr>\n    <tr>\n      \n          <th>SNUB0000</th>          \n          <td>SNUB RC Snubber Inductive Load Supressor</td>    </tr>\n    </table>\n  \n  \n  \n  \n  \n  \n</div>";product_images/28/6540/subcub12.GIF;nan
286557;MP25TA00;MP25TA00 MP-25TA MAGNETIC SENSOR;nan;product_images/28/6557/mlps2_0.jpg;nan
286582;MDMU0000;MDMU0000 MDMU PANEL REFLECTIVE;"<h5>Description</h5><p>The MDMU is a complete 6 digit Counter/Timer in a small panel or printed circuit board mounted package. It is designed to operate from a 5 VDC power supply. It has a 6 digit LCD, with 0.35' high digits, and 3 selectable decimal points. In the timer modes, a flashing annunciator is supplied to indicate that the signal input of the MDMU is active. The displays is positive image reflective (black digits, reflective background).</p><p>The MDMU has four Mode Select and two Decimal Point Select inputs available for determining the basic operation. In most applications, the MS and DP inputs are hard wired to select the appropriate function (counter or timer) and counter decimal point position.</p><p>The COUNTER mode is selected by setting the Mode select inputs to the appropriate levels (Hardware selection). Decimal points may also be set using the DP Inputs (Hardware selection). The TIMER mode and range is selected by setting the Mode Select inputs to the appropriate levels (Hardware selection). The timing range increments available are 1 msec, 10 msec, 100 msec, 1 sec, 0.1 min, 1 min, 0.01 hr, 0.1 hr, and 1 hr. The TIMER ACTIVE annunciator will flash at a 1 Hz rate when the input to the timer is activated.</p><h5>Specifications</h5><div><ul><li>Digital Counter &amp; Timer</li>\n<li>27 mm x 46 mm</li>\n<li>6 Digit, 0.35"" (9 mm)</li>\n<li>Reflective Display</li>\n<li>Count Positive or Negative Edge</li>\n<li>Selectable Decimal Points</li>\n<li>9 Timer Ranges</li>\n<li>5 VDC Powered</li>\n<li>Panel Mount Version</li>\n</ul></div><h5>Accessories</h5><div>\n            <table class=""description-table"">\n          <tr>\n      \n          <th>HWK70000</th>          \n          <td>MDM Cable Assembly for MDMU &amp; MDMV</td>    </tr>\n    <tr>\n      \n          <th>TCM10000</th>          \n          <td>TCM1 Triac Converter Module, 115 VAC</td>    </tr>\n  <tr>\n      \n          <th>VCM10000</th>          \n          <td>VCM1 Voltage Converter Module, 450 V AC/DC</td>    </tr>\n  <tr>\n      \n          <th>VCM20000</th>          \n          <td>VCM2 Voltage Converter Module, 50270 V AC/DC</td>    </tr>\n    <tr>\n      \n          <th>HWK30000</th>          \n          <td>Panel Bezel Kit without PC Board &amp; Cable for SCUB2</td>    </tr>\n  <tr>\n      \n          <th>HWK40000</th>          \n          <td>SCUB2 Panel Bezel Kit with PC Board &amp; Cable</td>    </tr>\n    <tr>\n      \n          <th>DMOSCB02</th>          \n          <td>SubCub Mounting P.C. Board</td>    </tr>\n    <tr>\n      \n          <th>SNUB0000</th>          \n          <td>SNUB RC Snubber Inductive Load Supressor</td>    </tr>\n    </table>\n  \n  \n  \n  \n  \n  \n</div>";product_images/28/6582/Mdc-200.GIF;nan
286635;WF1000BK;WF1000BK 1 FT BALANCED KNURL WHEEL;nan;product_images/28/6635/wheel-of-200.gif;nan
286667;CUB4L000;CUB4L000 CUB 4L REFLECTIVE;"<h5>Specifications</h5><div><ul><li>39 mm x 75 mm</li>\n<li>6 Digit, 0.48"" (12.2 mm) LCD</li>\n<li>Reflective LCD</li>\n<li>Front Panel, Remote Reset</li>\n<li>5 KHz</li>\n<li>NEMA 4X/IP65</li>\n</ul></div><h5>Accessories</h5><div>\n            <table class=""description-table"">\n          <tr>\n      \n          <th>ENC80000</th>          \n          <td>ENC8 Steel NEMA 4 Enclosure for CUB4, CUB5 and DT8</td>    </tr>\n  <tr>\n      \n          <th>ENC8A000</th>          \n          <td>ENC8A Plastic NEMA 4X Enclosure for CUB4, CUB5 and DT8</td>    </tr>\n  <tr>\n      \n          <th>ENC8B000</th>          \n          <td>ENC8B Plastic NEMA 4X Enclosure  CUB4, CUB5 and DT8 use with MLPS</td>    </tr>\n    <tr>\n      \n          <th>TCM10000</th>          \n          <td>TCM1 Triac Converter Module, 115 VAC</td>    </tr>\n  <tr>\n      \n          <th>VCM10000</th>          \n          <td>VCM1 Voltage Converter Module, 450 V AC/DC</td>    </tr>\n  <tr>\n      \n          <th>VCM20000</th>          \n          <td>VCM2 Voltage Converter Module, 50270 V AC/DC</td>    </tr>\n    <tr>\n      \n          <th>BMK60000</th>          \n          <td>BMK6 Open Base Mount Kit for CUB4, CUB5 &amp; DT8</td>    </tr>\n  <tr>\n      \n          <th>PMK6A000</th>          \n          <td>PMK6A Panel Mount Adapter Kit (1/8 DIN to CUB5)</td>    </tr>\n  <tr>\n      \n          <th>PMK7A000</th>          \n          <td>PMK7A Panel Mount Adapter Kit (1/4 DIN to DT8 CUB4 CUB5)</td>    </tr>\n    <tr>\n      \n          <th>MLPS1000</th>          \n          <td>MLPS1 12 VOC Micro Line Sensor Power Supply, 85250 VAC</td>    </tr>\n  <tr>\n      \n          <th>MLPS2000</th>          \n          <td>MLPS2 24 VDC Micro Line Power Supply, 85250 VAC</td>    </tr>\n    <tr>\n      \n          <th>SNUB0000</th>          \n          <td>SNUB RC Snubber Inductive Load Supressor</td>    </tr>\n    </table>\n  \n  \n  \n  \n  \n  \n</div>";product_images/28/6667/CUB4V-I-200.GIF;nan
286675;MDMV0110;MDMV0110 MDM VOLTPCBGRN;"<h5>Description</h5><p>The MDMV is a small panel or printed circuit board mount digital voltmeter. With advantages of accuracy, size, and ease of installation, it is an ideal replacement for analog meters. The unit has a 3&#189;-digit LCD display with 0.4' (10.2 mm) high digits. The display is negative image transmissive (illuminated digits, dark background) with yellow/green backlighting.</p>&#13;<p>The integrated circuit is bonded directly to the printed circuit board and is mechanically protected. Internal electrical interface connections use elastomeric connectors to provide a corrosion resistant connection. This reliable construction also reduces the space requirements.</p>&#13;<p>The MDMV module is designed to operate from a +5 VDC supply. The module measures input voltages from 0 to &#177;199.9 mV DC relative to the supply common.</p>&#13;<p>Auto-zeroing is provided by the module, therefore no zero adjustment is required. If the input signal exceeds the input range, the unit display will indicate an overrange condition.</p>&#13;<p>The module has three selectable decimal point positions and five selectable annunciators (BAT, V, A, m, &#181;). The BAT (Battery) annunciator is used to indicate a low battery condition, while the others are used to indicate Volts and Amperes.</p><h5>Specifications</h5><div><ul><li>Digital Display Voltmeter</li>\n<li>3 1/2 Digit, 0.4"" (10 mm) LCD</li>\n<li>Yellow/Green, with LED Backlighting</li>\n<li>+ / - 199.9 mV DC</li>\n<li>0.1% Accuracy</li>\n<li>5 VDC Powered</li>\n<li>PC Board Mount Version</li>\n<li>5 Selectable Annunciators</li>\n<li>Selectable Decimal Points</li>\n<li>Polarity Indication (-)</li>\n</ul></div><h5>Accessories</h5><div>\n            <table class=""description-table"">\n          <tr>\n      \n          <th>HWK70000</th>          \n          <td>MDM Cable Assembly for MDMU &amp; MDMV</td>    </tr>\n    <tr>\n      \n          <th>TCM10000</th>          \n          <td>TCM1 Triac Converter Module, 115 VAC</td>    </tr>\n  <tr>\n      \n          <th>VCM10000</th>          \n          <td>VCM1 Voltage Converter Module, 450 V AC/DC</td>    </tr>\n  <tr>\n      \n          <th>VCM20000</th>          \n          <td>VCM2 Voltage Converter Module, 50270 V AC/DC</td>    </tr>\n    <tr>\n      \n          <th>HWK30000</th>          \n          <td>Panel Bezel Kit without PC Board &amp; Cable for SCUB2</td>    </tr>\n  <tr>\n      \n          <th>HWK40000</th>          \n          <td>SCUB2 Panel Bezel Kit with PC Board &amp; Cable</td>    </tr>\n    <tr>\n      \n          <th>DMOSCB02</th>          \n          <td>SubCub Mounting P.C. Board</td>    </tr>\n    <tr>\n      \n          <th>SNUB0000</th>          \n          <td>SNUB RC Snubber Inductive Load Supressor</td>    </tr>\n    </table>\n  \n  \n  \n  \n  \n  \n</div>";product_images/28/6675/Mdmv-200.GIF;nan
286689;RLY60000;RLY60000 SSR 25A 1PH DIN MNT;"<h5>Description</h5><p>The RLY60000 is a solid state relay that switches load currents up to 25 A. This unit features a zero voltage turn-on detector to minimize radiated RFI when switching. An internal snubber guards against false triggering of the output related to high dv/dt applications. A low level DC control signal of 4 to 32 VDC is all that is needed for the switching operation. These units, highlighted by the inverse-parallel SCR output, provide a greatly increased operational life over mechanical relays by avoiding the usual relay contact problems such as: arcing, bouncing, and mechanical failure. The RLY6 can be directly controlled by logic/SSR drive output or sourcing output of Red Lion Controls products.</p><h5>Specifications</h5><div><ul><li>Single Phase Solid State Relay</li>\n<li>Integrated Heat Sink</li>\n<li>Optically Isolated</li>\n<li>24 to 660 Volt Switching</li>\n<li>4 to 32 VDC Control Signal</li>\n<li>Zero Voltage Turn-On</li>\n<li>Mounts on Din Rail or Directly to Panel</li>\n<li>4000 Volt Isolation</li>\n<li>Built-In Snubber</li>\n<li>LED ""ON"" Indicator</li>\n<li>Cage Clamp Terminations</li>\n</ul></div>";product_images/28/6689/RLY5-200.GIF;nan
286698;EMMDC000;EMMDC000 DC EMITTER W/2M CABLE;"<h5>Description</h5><p>The Models EMMDC (Emitter) and the RCMDC (Receiver) are miniature, DC powered, Opposed Beam photo-electric sensor pairs with a 13 foot sensing range. The Emitter contains a high power modulated &#147;infrared&#148; LED. The Receiver contains a sensitive photo-transistor, amplifier-demodulator and output transistor. In operation, this output will be triggered when the Receiver detects that an object begins to break the Emitter beam. Due to their high gain, they are ideally suited for detecting opaque objects in dirty and dusty areas or when condensation or oil film environments are present.</p>&#13;<p>The sensor provides application flexibility in counting, positioning and object detection. The unit is interchangeable with conventional 12 mm threaded barrel-type photo-electrics and inductive proximity sensors. The small size, in addition to various mounting options, greatly increases alignment ease and application possibilities.</p>&#13;<p>The unit can be powered by supplies ranging from +10 to +30 VDC and are reverse polarity protected. The complementary NPN open collector (Current Sinking) outputs are protected from continuous overload and inductive load transients and are rated to 150 mA, with low saturation voltage and less than 10 &#181;A off-state leakage current. In addition, no false outputs are generated at power-up.&#160;The sensor has a&#160;6 foot (1.83 M) long 4 conductor PVC jacketed cable which provides supply input and transistor output.</p>&#13;<p>The miniature sensor offers a digital gain adjustment that uses a single sealed push button to streamline installation and setup. The user simply holds the button in to achieve maximum sensitivity, and then can click the button for seven decremental settings to fine tune for your application. They also feature smart new status indicators. Green and amber LED&#146;s display operating status from three directions, indicate &#147;power on&#148; and &#147;light sensed&#148; and flash to signal &#147;maximum gain,&#148; &#147;gain reduced one increment&#148; and &#147;minimum gain&#148; conditions. You can tell operating status of your sensors at a glance.</p><h5>Specifications</h5><div><ul><li>Opposed Beam Emitter, Requires Opposed Bean Receiver</li>\n<li>2 Meter Cable</li>\n<li>Modulated LED Light Beam</li>\n<li>10 to 30 VDC Power</li>\n<li>NPN &amp; PNP Outputs</li>\n<li>Various Mounting Brackets and Reflective Targets</li>\n<li>NEMA 1, 2, 3, 3S, 4, 4x, 12 &amp; 13</li>\n</ul></div><h5>Accessories</h5><div>\n        \n  \n  \n  \n  \n  \n  \n  \n  \n</div>";product_images/28/6698/PR%26amp%3BRRDC-200.GIF;nan
