additional_description,description,ids,item_code,ordering_number
<table> <tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span >13/32 ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Armored Cable</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >42 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Armor Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Package (Ten Pins)</span> </td> </tr><tr> <td > <span >Nylon Coated</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40661 NAC6-42 HINGE PINS,157179,40661,NAC6-42
<table> <tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span >13/32 ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Armored Cable</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >48 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Armor Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Package (Ten Pins)</span> </td> </tr><tr> <td > <span >Nylon Coated</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40663 NAC6-48 HINGE PINS,157180,40663,NAC6-48
<table> <tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span >13/32 ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Armored Cable</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >36 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Armor Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Package (Ten Pins)</span> </td> </tr><tr> <td > <span >Nylon Coated</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40659 NAC6-36 HINGE PINS,157178,40659,NAC6-36
<table> <tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span >13/32 ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Armored Cable</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >24 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Armor Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Package (Ten Pins)</span> </td> </tr><tr> <td > <span >Nylon Coated</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40654 NAC6-24 HINGE PINS,157176,40654,NAC6-24
<table> <tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span >13/32 ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Armored Cable</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >30 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Armor Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Package (Ten Pins)</span> </td> </tr><tr> <td > <span >Nylon Coated</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40657 NAC6-30 HINGE PINS,157177,40657,NAC6-30
<table> <tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span >1/4 ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Armored Cable</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >48 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Armor Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Package (Ten Pins)</span> </td> </tr><tr> <td > <span >Nylon Coated</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40637 NAC-48 HINGE PINS,157172,40637,NAC-48
<table> <tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span >1/4 ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Armored Cable</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >36 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Armor Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Package (Ten Pins)</span> </td> </tr><tr> <td > <span >Nylon Coated</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40634 NAC-36 HINGE PINS,157170,40634,NAC-36
<table> <tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span >1/4 ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Armored Cable</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >18 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Armor Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Package (Ten Pins)</span> </td> </tr><tr> <td > <span >Nylon Coated</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40629 NAC-18 HINGE PINS,157166,40629,NAC-18
<table> <tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span >1/4 ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Armored Cable</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >24 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Armor Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Package (Ten Pins)</span> </td> </tr><tr> <td > <span >Nylon Coated</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40631 NAC-24 HINGE PINS,157167,40631,NAC-24
<table> <tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span >1/4 ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Armored Cable</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >42 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Armor Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Package (Ten Pins)</span> </td> </tr><tr> <td > <span >Nylon Coated</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40636 NAC-42 HINGE PINS,157171,40636,NAC-42
<table> <tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span >1/4 ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Armored Cable</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >30 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Armor Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Package (Ten Pins)</span> </td> </tr><tr> <td > <span >Nylon Coated</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40633 NAC-30 HINGE PINS,157169,40633,NAC-30
<table> <tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span >1/4 ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Nylon Covered Armored Cable</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >26 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Armor Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Package (Ten Pins)</span> </td> </tr><tr> <td > <span >Nylon Coated</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40632 NAC-26 HINGE PINS,157168,40632,NAC-26
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >C/D</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Stainless Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40548 SRC/D-S RIVETS,157165,40548,SRC/D-S
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >D</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Stainless Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40545 SRD-S RIVETS,157162,40545,SRD-S
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >F</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Stainless Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40547 SRF-S RIVETS,157164,40547,SRF-S
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >E</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Stainless Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40546 SRE-S RIVETS,157163,40546,SRE-S
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >B</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Stainless Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40543 SRB-S RIVETS,157160,40543,SRB-S
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >C/D</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40538 SRC/D RIVETS,157157,40538,SRC/D
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (100 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >C</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40541 SRC-100 RIVETS,157158,40541,SRC-100
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >A</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Stainless Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40542 SRA-S RIVETS,157159,40542,SRA-S
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >K</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40537 SRK RIVETS,157156,40537,SRK
<table> <tr> <td > <span >Hinge Pin Diameter</span> </td> <td> <span >3/8 ''</span> </td> </tr><tr> <td > <span >Hinge Pin Material</span> </td> <td> <span >Bare Armored Steel Cable</span> </td> </tr><tr> <td > <span >Belt Width</span> </td> <td> <span >42 ''</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Armor Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Hinge Pins</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Package (Ten Pins)</span> </td> </tr><tr> <td > <span >Nylon Coated</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40712 AC6-42 HINGE PINS,157197,40712,AC6-42
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >I</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40535 SRI RIVETS,157154,40535,SRI
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >H</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40534 SRH RIVETS,157153,40534,SRH
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >G</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40533 SRG RIVETS,157152,40533,SRG
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >C</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Stainless Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40544 SRC-S RIVETS,157161,40544,SRC-S
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >E</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40531 SRE RIVETS,157150,40531,SRE
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >J</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40536 SRJ RIVETS,157155,40536,SRJ
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >C</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40529 SRC RIVETS,157148,40529,SRC
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >A</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40527 SRA RIVETS,157146,40527,SRA
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >H</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Stainless Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40522 SRH-S RIVETS,157144,40522,SRH-S
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >G</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Stainless Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40523 SRG-S RIVETS,157145,40523,SRG-S
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >J</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Stainless Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40507 SRJ-S RIVETS,157141,40507,SRJ-S
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >I</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Stainless Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40506 SRI-S RIVETS,157140,40506,SRI-S
<table> <tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Box (250 Rivets)</span> </td> </tr><tr> <td > <span >Rivet Style</span> </td> <td> <span >Single</span> </td> </tr><tr> <td > <span >Rivet Size</span> </td> <td> <span >F</span> </td> </tr><tr> <td > <span >Rivet Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Description</span> </td> <td> <span >Flexco<sup>®</sup> SR<sup></sup> Rivets</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 40532 SRF RIVETS,157151,40532,SRF
