attributes,main_image,id,additional_description,catalog_number
Replaces Product Code:53939|Base Code:5380-90-|Color:Black|Length:6.10 in.|Width:3.50 in.|Height:3.50 in.|Weight:0.31 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessMedium|Bristle Length1.18 in.|Material:Stainless Steel|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72901/5380-90-9_1.jpg,2072901,"<p><br>This tube brush has bristles along the sides as well as in the front. It is used in areas where a wider tube cleaning action is required or where the equipment has an end point that cannot be reached with a hand brush. Works well as a drain brush, particularly in black. Requires a European-thread handle. (This part number replaces 53939)</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>6.25</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.9</td>\n																\n															</tr>\n                        \n														</table>",5380-90-9
Base Code:5689|Color:White|Length:11.3 in.|Width:9.75 in.|Height:0.5 in.|Weight:0.26 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72853/56895_1.jpg,2072853,"<p><br>This pail lid is useful for preventing spillage of materials. It has a clip system for securing the lid tightly.  Corresponds with part number 5688.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>9.96</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>11.61</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>0.59</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.26</td>\n																\n															</tr>\n                        \n														</table>",56895
Thread:Hygienic (Euro)|Color:Yellow|Length:98.75-185.5 in.|Width:1.3 in.|Weight:2.77 lbs.|Material:Fiberglass/Aluminum|FDA Compliant Material:No|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,http://products.remcoproducts.com/images/products/6268_M.jpg,2072965,"This composite fiberglass and aluminum extension pole extends past 15 feet, and makes easy work of a variety of difficult-to-reach cleaning tasks. Washing down walls and tall tanks is possible without the use of a ladder.",6268
Color:High Temp Blue|Length:0.1 in.|Width:4.5 in.|Height:10 in.|Weight:0.3 lbs.|Material:Nylon/Fiberglass|FDA Compliant Material:Yes|Working Temp:-22°F/-30°C to 410°F/210°C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/72973/6963_1.jpg,2072973,"<p><br>This high-temperature large hand scraper is great for scraping hot cooking surfaces, such as griddles. It has no seams or cracks, which helps prevent bacterial growth.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>4.4</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>9.7</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.3</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Color:</th>\n                              <td>High Temp Blue</td>\n																\n															</tr>\n                        \n														</table>",6963
Base Code:3199|Color:Purple|Length:24.2 in.|Width:2.5 in.|Height:4.9 in.|Weight:1.8 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessSoft|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72881/31998_1.jpg,2072881,"<p><br>The bristles on this fully color-coded floor broom are very soft, which makes it great for sweeping fine particles in dry areas. </p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>23.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.7</td>\n																\n															</tr>\n                        \n														</table>",31998
Base Code:5688|Capacity1.5 Gallons|Color:White|Length:10 in.|Width:9.6 in.|Height:7.1 in.|Weight:1.2 lbs.|Material:Polypropylene|Additional Material: Stainless Steel|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72845/56885_1.jpg,2072845,"<p><br>This is a durable 1.5 gallon pail that is suitable for cleaning or storage of ingredients and food stuff and is calibrated for a variety of measuring units. The pail has a wide drip-free spout, sturdy stainless steel hanger, hand grip at the bottom that is raised</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>9.69</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>10.12</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>10.04</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Stainless Steel</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.2</td>\n																\n															</tr>\n                        \n														</table>",56885
Base Code:2920|Color:Red|Length:20.1 in.|Width:3 in.|Height:6.9 in.|Weight:2.63 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72989/29204_1.jpg,2072989,"<p><br>This heavy duty broom has long, thick bristles, which makes it ideal for sweeping heavy debris. This brush is also suitable for use in wet and external areas.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>20.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>PET</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>2.4</td>\n																\n															</tr>\n                        \n														</table>",29204
Base Code:3174|Color:Blue|Length:16.1 in.|Width:2.6 in.|Height:4.2 in.|Weight:1.13 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessSoft/Stiff|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73041/31743_1.jpg,2073041,"<p><br>This fully color-coded sweeping broom has two types of bristles to pick up every particle. The stiff bristles loosen stubborn dirt, and the soft bristles sweep away loose particles.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>16.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.2</td>\n																\n															</tr>\n                        \n														</table>",31743
Base Code:3199|Color:Yellow|Length:24.2 in.|Width:2.5 in.|Height:4.9 in.|Weight:1.8 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessSoft|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73061/31996_1.jpg,2073061,"<p><br>The bristles on this fully color-coded floor broom are very soft, which makes it great for sweeping fine particles in dry areas. </p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>23.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.7</td>\n																\n															</tr>\n                        \n														</table>",31996
Base Code:2934|Thread:Hygienic (Euro)|Color:White|Length:6.25 in.|Width:1.25 in.|Weight:0.11 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72997/29345_1.jpg,2072997,"<p><br>The mini-handle is commonly used with scraping blades for large flat surface areas like tables, tube brushes for round entry points of equipment, and paddles for scraping ingredients from large bowls and containers.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>6.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.1</td>\n																\n															</tr>\n                        \n														</table>",29345
Base Code:4167|Color:White|Length:12.40 in.|Width:3.90 in.|Height:3.90 in.|Weight:0.62 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessSoft/Split|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72957/41675_1.jpg,2072957,"<p><br>This ergonomic hand brush is fully color-coded and has split fiber bristles that retain water for a good washing effect. </p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>13.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.6</td>\n																\n															</tr>\n                        \n														</table>",41675
Base Code:7754|Color:Black|Length:23.6 in.|Width:3.7 in.|Height:4.3 in.|Weight:0.75 lbs.|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,http://products.remcoproducts.com/images/products/77549_M.jpg,2072961,"The foam rubber blades on this squeegee make it the most effective squeegee in the Vikan range. It is excellent on all types of floors, as the soft rubber reaches into and cleans all spaces on the floor, such as grouting between tiles. The cartridge system blades can be removed for easy cleaning and replaced when worn out, making the model a very economical option. Replacement squeegee blades 77745 or 77749. May be used with any European-thread handle.",77549
Base Code:2981|Thread:Hygienic (Euro)|Color:Green|Length:25.5 in.|Width:1.25 in.|Weight:0.43 lbs.|Material:Aluminum|Additional Material: Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73025/29812_1.jpg,2073025,"<p><br>Medium length handle with ergonomic sleeve.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>25.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Aluminum</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.5</td>\n																\n															</tr>\n                        \n														</table>",29812
Base Code:3893|Color:Blue|Length:7.25 in.|Width:2.40 in.|Height:2.10 in.|Weight:0.41 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessStiff|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73081/38933_1.jpg,2073081,"<p><br>This multi-purpose scrub brush has angled bristles to clean hard to reach corners. Polyester bristles are affixed to a solid polypropylene block with resin. </p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>7.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.5</td>\n																\n															</tr>\n                        \n														</table>",38933
Base Code:4192|Color:Yellow|Length:9.80 in.|Width:2.60 in.|Height:2.60 in.|Weight:0.44 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessStiff|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73643/41926_1.jpg,2073643,"<p><br>This fully color-coded, short-handled, wash brush has a comfortable grip allowing you to work for long periods of time without hand fatigue. The stiff bristles are great for washing all types of equipment, tables and walls. You can use the brush holding both the handle and the brush head to give you better control.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>2.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>10</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.5</td>\n																\n															</tr>\n                        \n														</table>",41926
Base Code:3892|Color:Red|Length:9.80 in.|Width:4.75 in.|Height:2.40 in.|Weight:0.72 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessExtra Stiff|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73077/38924_1.jpg,2073077,"<p><br>This large hand scrub brush with flared bristles enables you to clean tables, chopping boards, buckets, large bowls and other equipment where it is necessary to reach into corners. </p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>8</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.8</td>\n																\n															</tr>\n                        \n														</table>",38924
Base Code:3587|Color:Green|Length:6.40 in.|Width:1.70 in.|Height:1.40 in.|Weight:0.24 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessMedium|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73065/35872_1.jpg,2073065,"<p><br>This multipurpose, fully color-coded hand brush is great for scrubbing tables and cutting boards. It is also designed for smaller hands.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>7</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.3</td>\n																\n															</tr>\n                        \n														</table>",35872
Base Code:4558|Color:Yellow|Length:10.00 in.|Width:1.60 in.|Height:3.20 in.|Weight:0.41 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessSoft|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73121/45586_1.jpg,2073121,"<p><br>The bristles on this short-handled bench brush are resin set and secured without stainless steel staples. The medium bristles are ideal for removing fine dust particles from tables and other surfaces.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>10</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.4</td>\n																\n															</tr>\n                        \n														</table>",45586
Base Code:5376|Color:Yellow|Length:19.90 in.|Width:0.90 in.|Height:0.90 in.|Weight:0.15 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessMedium|Bristle Length0.35 in.|Material:Stainless Steel|FDA Compliant Material:Yes|Working Temp:-4° F/-20° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73149/53766_1.jpg,2073149,"<p><br>This tube brush is great for cleaning small pipes and very narrow spaces between machine parts. The bristles are attached to a helically wound stainless steel shaft which makes it strong and chemically resistant.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>19.685</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Length (inches):</th>\n                              <td>.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Stainless Steel</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.2</td>\n																\n															</tr>\n                        \n														</table>",53766
Base Code:5379|Color:Red|Length:20.10 in.|Width:2.00 in.|Height:2.00 in.|Weight:0.19 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessMedium|Bristle Length0.91 in.|Material:Stainless Steel|FDA Compliant Material:Yes|Working Temp:-4° F/-20° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73169/53794_1.jpg,2073169,"<p><br>This tube brush is great for cleaning small pipes and very narrow spaces between machine parts. The bristles are attached to a helically wound stainless steel shaft which makes it strong and chemically resistant. </p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>19.685</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Length (inches):</th>\n                              <td>2</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Stainless Steel</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.2</td>\n																\n															</tr>\n                        \n														</table>",53794
Thread:Hygienic (Euro)|Color:White|Length:79.9 in.|Width:1 in.|Weight:1.76 lbs.|Material:Fiberglass|FDA Compliant Material:No|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/73153/6080_1.jpg,2073153,"<p><br>RemcoÃÂÃÂ¢ÃÂÃÂÃÂÃÂs hazmat handles are an essential element of a low-cost, total solution to chemical clean-up tasks. Stiff but lightweight, they feature honeycomb construction with smooth, chemically resistant gel-coat surfaces.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>80</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>No</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Fiberglass</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.7</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Color:</th>\n                              <td>White</td>\n																\n															</tr>\n                        \n														</table>",6080
Base Code:4180|Color:Yellow|Length:16.30 in.|Width:2.50 in.|Height:3.10 in.|Weight:0.53 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessStiff|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73093/41806_1.jpg,2073093,"<p><br>This long handled scrub brush allows you to reach into hard to access parts of equipment. Polyester bristles are affixed to a solid polypropylene block with resin. </p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>11.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.6</td>\n																\n															</tr>\n                        \n														</table>",41806
Base Code:6552|Capacity128 oz.|Color:Blue|Length:11 in.|Width:8.7 in.|Height:7.3 in.|Weight:1.48 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/73125/65523_1.jpg,2073125,"<p><br>This fully color-coded dipper version of the mega scoop is great for handling bulk materials. Its solid construction makes it extremely durable. It requires a European-thread handle.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>9</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>11</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>7</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.5</td>\n																\n															</tr>\n                        \n														</table>",65523
Base Code:4188|Color:Blue|Length:9.10 in.|Width:2.75 in.|Height:2.80 in.|Weight:0.51 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessStiff|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73097/41883_1.jpg,2073097,"<p><br>The bristles on this short handled wash brush are set with resin and secured without stainless steel staples, great for special applications and special needs. It is ideal for cleaning stubborn dirt from smooth surfaces, machinery and tables. </p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>9.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.5</td>\n																\n															</tr>\n                        \n														</table>",41883
Base Code:5687|Color:Purple|Length:13.94 in.|Width:12.38 in.|Height:1 in.|Weight:0.56 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73181/56878_1.jpg,2073181,"<p><br>This pail lid is useful for preventing spillage of materials. It has a clip system for securing the lid tightly.  Corresponds with part number 5686.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>12.25</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.5</td>\n																\n															</tr>\n                        \n														</table>",56878
