id,catalog_number,add_descr
2888117,RSC-3036-2-2DR-95,nan
2888081,RSC-1830-2-95,2 Shelf Stock Cart
2888109,RSC-2448-2-95,2 Shelf Stock Cart
2888105,RSC-2436-BLP-64-210-95,Heavy Duty Bin Service Carts
2888121,RSC-3048-2-95,2 Shelf Stock Cart
2888145,RSC6-2448-2-3.6K-95,2 Shelf Stock Carts with 6 Lips Up
2888149,RSCE-1830-2-95,Rolling Stock Cart with Ergonomic Handle
2888137,RSC3-2436-2-95,2 Shelf Stock Carts with 3 Lips Up
2888157,RSCE-2436-2-3.6K-ALD-95,Heavy Rolling Stock Cart with Ergonomic Handle-
2888141,RSC6-1830-2-95,2 Shelf Stock Carts with 3 Lips Up
2888173,RSCE-3060-2-3.6K-TLD-95,Heavy Rolling Stock Cart with Ergonomic Handle-
2888165,RSCE-2448-2-TLD-95,Rolling Stock Cart with Ergonomic Handle-
2888125,RSC-3060-2-3K-TLD-95,2 Shelf Stock Cart with Ergonomic Handle-
2888153,RSCE-1836-2-3.6K-TLD-95,Heavy Rolling Stock Cart with Ergonomic Handle-
2888129,RSC-3060-3-95,3 Shelf Stock Carts
2888189,SJC-BDLP-192-95,nan
2888181,RSCR-3048-ALD-95,2 Shelf Stock Cart with Raised Handle (All lips down)
2888185,RSIC-2436-2-8PN-95,2 Shelf Instrument Cart with Drawer and Electrical Strip (Pneumatic Caster)
2888169,RSCE-3048-2-95,Rolling Stock Cart with Ergonomic Handle
2888133,RSC3-1830-2-3.6K-95,2 Shelf Stock Carts with 3 Lips Up
2888177,RSCR-2436-ALD-95,2 Shelf Stock Cart with Raised Handle (All lips down)
2888161,RSCE-2448-2-3.6K-95,Heavy Duty Rolling Stock Cart with Ergonomic Handle
2888101,RSC-2436-4-3K-95,4 Shelf Stock Cart
2888197,SSC-185-3S-NL-5295,nan
2888201,SSC-227-95,nan
2888221,TRM-3630-95,"Perforated Tray for use in 30"" deep models"
2888225,VSC-242478-95,nan
2888213,SSC-722484-BDLP-264-1795,"72"" (mm: 1829) Super Wide Jumbo Cabinet with 264 Hook-On® Bins"
2888205,SSC-602484-3S-95,nan
2888241,WBF-TH-3660-95,nan
2888233,WBF-3696-95,nan
2888249,WB-SHELF-96-95,"96"" long"
2888237,WBF-TH-3060-95,nan
2888245,WBF-TH-4896-95,nan
2888229,WBF-3096-95,nan
2888293,522-43,"(70 kit) With handle, wall mounting hangers, and one fixed shelf."
2888297,PB30162-08,Divider (Horizontal)
2888193,SSC-185-3S-1795,nan
2888321,550-43,Glove Dispenser
2888317,505-43,(16 Unit) One partition.
2888345,512G-43,(24P) One-piece construction with living hinge molded-in partition and gasket. Features positive catches and combination handle/hanger. Also available without gasket (Model 512-43); without partition (Model 512G-43-N/P)
2888361,497-43,(Multi Purpose Kit Box) Features easy to open positive catch and living hinge. 
2888349,PB30210-21,Dividers: order PB30161
2886865,004-95,9 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886881,028-95,"60 Drawer Cabinet Systems-with 17"" Deep Extra large capacity drawers"
2886877,024-95,"30 Drawer Cabinet Systems-with 11-1/4"" Deep Extra large capacity drawers"
2886885,032-95,18 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886889,052-43,(Spill Control/Respirator Cabinet) Two adjustable shelves. Full length plexiglass window and key holes for wall mounting.
2886873,017-95,48 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886897,061-95-ADJFS,Wall Mountable Cabinet with adjustable Shelves 
2886933,1090SL-50,"FM Approved, 90 Gallon, Self closing doors, Flammable Storage Cabinet with Legs "
2886937,1108-95,"17""(432mm)  Diameter Rotabin®"
2886941,1141-95,"Optional Adjustable Steel Divider (for 17"" Rotabin®)"
2886917,1030S-50,FM Approved Self Closing Safety Cabinet 
2886925,1060ML-50,"FM Approved, 60 Gallon, manual closing, Flammable Storage Cabinet with Legs "
2886961,1342-95,Adjustable Steel Divider for Bulk Rotabin
2888325,PB30230-17,Dividers: order PB30171
2886973,2201-95,nan
2886977,2210-95,nan
2886921,1045S-50,FM Approved Self Closing Safety Cabinet
2887009,2501-BDLP-102-3S-95,16 Gauge Cabinets with Hook-On Bins and Shelves
2887005,2500-4S-95,nan
2886981,2211-95,nan
2887013,2501M-BLP-12-2S-1795,Mobile Cabinet with Hook-On Bins and Shelves
2886989,2213A-LU-95,nan
2887021,2502-138-3S-5295,16 Gauge Cabinets with Hook-On Bins and Shelves
2887033,2502M-BLP-4S-95,Mobile Cabinet with 4 Shelves
2887017,2501M-BLP-30-5295,Mobile Cabinet with Hook-On Bins 
2887029,2502M-BLP-18-2S-95,Mobile Cabinet with Hook-On Bins and Shelves
2887073,309B-95,"Rack base (20 5/8"" W X 15 5/8"" H X 12 5/8"" D; weight 13 lbs.) is available for use with 310B-95, 309B-95, 305B-95."
2887057,3000-95,nan
2887037,2506-4S-95,nan
2887041,2603-156B-1795,16 Gauge Cabinets with Hook-On Bins
2887097,3402-95,nan
2887093,330-95,nan
2887101,343-95,8 1/2%u201D Deep Utility Cabinet with Lock and 4 sections
2887113,3501524RDR-95,"36"" Wide Cabinet with 52 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers "
2887105,3500-138B-1795,nan
2887077,3100-BLP-20-95,nan
2887129,3501-DLP-72/40B-96-1795,36 Wide Small Parts Storage & Security Cabinet with 112 Steel Pigeon Hole Bins & 96 Hook-on Bins 
2887133,3501-DLP-PB-96-2S-5295,"36 Wide 5-S Storage Cabinet with Steel Pegboard, 96 Bins and 2 Adjustable Shelves"
2887117,3501-95,14 Gauge Cabinet with
2887121,3501-BDLP-132-1795,nan
2887149,3502-4S-95,nan
2887153,3502M-BLP-18-2S-95,Mobile Cabinet with Hook-On Bins and Shelves
2887161,353-95,nan
2887174,3602-BLP-36-1795,nan
2887186,363LP-95,72 Opening Bin with Side Louvered Panels
2887165,358-95,nan
2887157,3502M-BLP-4S-95,Mobile Cabinet with 4 Shelves
2887137,3501M-BLP-12-2S-5295,Mobile Cabinet with Hook-On Bins and Shelves
2887145,3502-138-3S-95,nan
2887141,3501M-BLP-30-95,Mobile Cabinet with Hook-On Bins 
2887182,360-95,nan
2887194,368-95,4 Rod Rack 
2887206,3702CXC-30B-1795,Access Control Cabinet with Audit Trail - Hook-On Bins Included
2887210,3703-4S-95,nan
2887202,3702-16-3S-5295,nan
2887218,3704CXC-54B-1795,Access Control Cabinet with Audit Trail - Hook-On Bins Included
2887178,3603-156B-1795,nan
2887214,3703CXC-42B-95,Access Control Cabinet with Audit Trail - Hook-On Bins Included
2887025,2502-186-95,16 Gauge Cabinets with Hook-On Bins
2887226,381-95,Keystock Rack
2887238,396-95,nan
2887234,3951-3S-95,* Features space-saving bi-folding doors 
2887198,3702-132-1795,nan
2887242,3SLT-1836-1.2K-95,3 Sided Low Deck Stock Truck
2887250,3ST-EX2448-95,3 Sided Mesh Stock Truck
2887254,3ST-EX3048-3AS-95,3 Sided Mesh Stock Truck
2887230,385-95,Aerosol can caddy with six sections
2887258,3ST-EX3060-3AS-95,3 Sided Mesh Stock Truck
2887246,3SLT-2448-1.2K-95,3 Sided Low Deck Stock Truck
2887270,400-54,20 Pocket 
2887282,402-54,11 Pocket 
2887294,405-54,11 Pockets Literature Rack (large)
2887274,401-08,23 Pocket 
2887286,403-08,5 Pocket 
2887262,3ST-EX3660-3AS-95,3 Sided Mesh Stock Truck
2887298,406-54,10 Pockets Literature Rack (large)
2887290,403-75,5 Pocket 
2887278,401-75,23 Pocket 
2887314,411-95,20 Pockets Literature Rack (large)
2887330,4SLT-1836-1.2K-95,4 Sided Low Deck Stock Truck
2887334,4SLT-2448-2K-95,4 Sided Low Deck Stock Truck
2887326,432-75,12 Opening Horizontal Literature Rack
2887342,4STE-SM-3048-95,4 Sided Solid Box Truck with Ergonomic Handle
2887346,5002-18-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887350,5003-30-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887366,5011-30-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887338,4STE-EX-3048-95,4 Sided Mesh Box Truck with Ergonomic Handle
2887354,5006-30-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887358,5007-42-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887370,5014-30-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887378,5018-42-5295,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887266,3ST-EX3672-3AS-95,3 Sided Mesh Stock Truck
2887382,5019-54-5295,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887386,5022-48-5295,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887390,5023-72-5295,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887398,534-43,"(9 FX Cabinet) 3-shelf, Door pouch sold separately (Model 564-H721)."
2887362,5010-30-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887374,5015-42-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887410,575-95,Art File with Adjustable Dividers
2887302,407-54-A,Optional Legs for models 405 and 411
2887406,563-H720,"This 8-Pocket Plastic Door Pouch is used with the 7FX/7 Cabinets (Models 533-43, 532-43 and 516-43.)"
2887438,907-08-S129,10 Loop Clamp Rack
2887418,590-95,Tilt-Out Tray Dispensing Cabinet
2887402,535-43,"(11FX Cabinet) 4-shelf, Door pouch sold separately (Model 565-H722)."
2887422,5WT-3060-12PN-95,"All welded 14 gauge steel platform truck with 12"" pneumatic casters, (2) swivel and (2) rigid"
2887394,529-D830,in: 6-3/4 x 3-3/4 
2887450,APT-3048-95,14 Gauge Steel Construction; 6 removable handles. (in: 12 x 24 x 36) (mm: 305 x 610 x 914) above deck
2887414,581-95,One Opening Hydraulic Hose Cabinet 
2887426,611-95,Model 611 (TB9D) has nine drawers with 81 adjustable dividers.  It features locking hinges to hold drawers in place in a moving vehicle. Padlock not provided.
2887446,AF-3060-95,A-Frame Truck 
2887462,DC-243636-48-2S-95,nan
2887454,BCT-2860-10K-95,5' length with 3 cradles
2887470,DC36-78-6DS-95,nan
2887486,DC48-842S6DS-1795,nan
2887474,DC48-128-4S-1795,nan
2887442,AF-3048-LP-95,A-Frame Truck with Louvered Panels on Both Sides (Hook On Bins not included)
2887482,DC48-4S14DS-95,nan
2887490,DC-BDLP-132-5295,nan
2887502,DCBDLP724RDR-5295,nan
2887494,DCBDLP524RDR-95,"36"" Wide Cabinet with 52 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers "
2887466,DC36-4S12DS-95,14 Gauge Cabinet with Shelves and Door Shelves
2887526,EAS-1824-95,Open Access Cart 
2887518,DWB-3672-95,nan
2887538,EMDC-2600-BLP-95,All Welded 16 Gauge Construction
2887498,DCBDLP694RDR-1795,nan
2887506,DC-DLP-96-4S-95,nan
2887546,EMDC361845B95,Clearview Cabinets with Hook-On Bins®
2887554,EMDC-361872-30B-95,Clearview Cabinets with Hook-On Bins®
2887542,EMDC36182S15B5295,Clearview Cabinets with Hook-On Bins® and Shelves
2887514,DWB-3072-BE-LP-95,Heavy duty workbench with 72W x 24H Louvered Back  Panel for use with HOOK-ON BINS®
2887562,EMDC-362472-18B-2S-5295,Clearview Cabinets with Hook-On Bins® and Shelves
2887558,EMDC36242S15B5295,Clearview Cabinets with Hook-On Bins® and Shelves
2887550,EMDC-361872-18B-2S-5295,Clearview Cabinets with Hook-On Bins® and Shelves
2887570,EMDC-362484-HDL-95,nan
2887566,EMDC-362472-30B-95,Clearview Cabinets with Hook-On Bins®
2887574,EMDC-481872-42B-1795,Clearview Cabinets with Hook-On Bins®
2887578,EMDC-481872-6B-3S-5295,Clearview Cabinets with Hook-On Bins® and Shelves
2887586,EMDC-482472-42B-95,Clearview Cabinets with Hook-On Bins®
2887530,EGCC16-50,Horizontal Cylinder Storage Cabinet - Holds 16 Cylinders
2887522,DWBM-3060-BE-RSR-95,"With Riser, Electrical Strip, and 10 Bins"
2887534,EGCVC18-50,Vertical Cylinder Storage Cabinet - Holds 18 Cylinders
2887582,EMDC-482472-24B-2S-5295,Clearview Cabinets with Hook-On Bins® and Shelves
2887590,EMDC-482472-95,nan
2887594,EPT-3060-95,"All welded 12 gauge steel platform truck with 6"" x 2"" phenolic bolt-on casters, (2) swivel and (2) rigid"
2887634,HC1101S,nan
2887662,HDC-247278-4S95,nan
2887658,HDC-244878-4S95,nan
2887630,H302,"Plated locking hinge with swivel padlock attachment is available for models 302, 302B, and 309B to lock drawers into the racks and hold them securely in place. They have mounted holes and can be easily installed using sheet metal screws or pop rive"
2887654,HDC-243666-3S95,nan
2887666,HDC36-108-3S1795,nan
2887686,HDC48-162-1795,12 Gauge Cabinet with 162 Hook-On-Bins
2887682,HDC36-DC24TB4S95,nan
2887690,HDC48-84-2S6D1795,nan
2887710,HDCC243642-2S95,12 Gauge Countertop Clearview Shelf Cabinet
2887698,HDC60-198-95,12 Gauge Cabinet with 198 Hook-On-Bins
2887702,HDC72-192-3S95,nan
2887678,HDC36-96-4S5295,nan
2887706,HDCC202436-2S95,12 Gauge Countertop Clearview Shelf Cabinet
2887714,HDCC246078-4S95,12 Gauge Clearview Shelf Cabinet
2887726,HDCM36-30-1795,Mobile Cabinet with Hook-On Bins 
2887670,HDC36-126-5295,12 Gauge Cabinet with 126 Hook-On-Bins
2887650,HDC-203642-2S95,12 Gauge Counter Top Cabinet
2887722,HDCD247278-6B95,nan
2887718,HDCD243678-7B95,nan
2887742,HDCP246078-4S95,12 Gauge Extra Heavy Duty Shelf Cabinet with PegBoard Doors. 
2887674,HDC36-60-2S6D1795,nan
2887758,HDCV244878-4S95,12 Gauge ventilated cabinets 
2887738,HDCO244878-4S95,12 Gauge Cabinet with 4 Shelves. (for outdoor use) 
2887762,HDCV36-12B-2S95,12 Gauge Cabinets
2887754,HDC-SH-2448-95,nan
2887766,HDCV36-6B-3S1795,12 Gauge Cabinets
2887694,HDC60-156-3S5295,nan
2887734,HDCM48-42-5295,Mobile Cabinet with Hook-On Bins
2887782,HDCV60-54B-5295,12 Gauge Cabinets
2887770,HDCV48-18B-3S5295,12 Gauge Cabinets
2887730,HDCM48-18-2S1795,Mobile Cabinet with Hook-On Bins and Shelves
2887778,HDCV60-12B-3S1795,12 Gauge Cabinets
2887806,HDWB-3048-95,nan
2887802,HDS-2460-95,nan
2887790,HDDS247266-6S95,nan
2887794,HDJC243678-60-4S95,nan
2887798,HDJC244878-4S95,nan
2887826,HET-3060-2-5K-95,nan
2887786,HDDS244866-6S95,nan
2887834,HMT-1836-3-95,nan
2887830,HET-3672-2-5K-95,nan
2887822,HET-2448-3-5K-95,nan
2887858,HWB-3648-95,Super Heavy Duty Workbench
2887838,HMT-2448-3-95,nan
2887866,HWBMT-366024-95,Extra Heavy Duty Machine Tables - Top shelf Only
2887818,HET-2436-2-95,nan
2887862,HWB-3672-95,Super Heavy Duty Workbench
2887878,JC-482478-3S-95,nan
2887882,JCBDLP694RDR-1795,nan
2887886,JCBDLP724RDR-5295,nan
2887842,HMT-3060-3-95,nan
2887898,LDO-3048-2-2K-95,Low Deck Service Truck
2887894,LDO-2448-2-2K-95,Low Deck Service Truck
2887890,LDO-2436-2-2K-95,Low Deck Service Truck
2887906,LIC-2448-2-95,Low Profile Instrument Cart
2887914,LPRSS-34.5X12-95,Free Standing Louvered Panel Rack
2887902,LDO-3060-2-95, Low Deck Service Truck
2887918,LPW-17.25X64-95,Wall Mountable Louvered Panel
2887874,JC-137-3S-95,nan
2887922,LPW-46X20-95,Wall Mountable Louvered Panel (include 2 panels)
2887962,MTD182418-2K195,Medium Duty Machine Tables With Drawer and Top Shelf Only
2887814,HDWC244878-7M95,nan
2887950,MT243642-2K195,Medium Duty Machine Tables - Top Shelf Only
2887938,MT182424-2K195,Medium Duty Machine Tables - Top Shelf Only
2887774,HDCV48-24B-2S95,12 Gauge Cabinets
2887970,MTD243636-2K195,Medium Duty Machine Tables With Drawer and Top Shelf Only
2887982,MTDM243618-2K195,Mobile Medium Duty Machine Tables with Drawer & Top Shelf Only
2887986,MTDM243642-2K195,Mobile Medium Duty Machine Tables with Drawer & Top Shelf Only
2887974,MTD244830-2K195,Medium Duty Machine Tables With Drawer and Top Shelf Only
2887978,MTDM182424-2K195,Mobile Medium Duty Machine Tables with Drawer & Top Shelf Only
2887990,MTDM244836-2K195,Mobile Medium Duty Machine Tables with Drawer & Top Shelf Only
2887966,MTD182442-2K195,Medium Duty Machine Tables With Drawer and Top Shelf Only
2887994,MTM182430-2K195,Mobile Medium Duty Machine Tables - Top Shelf Only
2888006,MTM244818-2K195,Mobile Medium Duty Machine Tables - Top Shelf Only
2888010,MTM244836-2K195,Mobile Medium Duty Machine Tables - Top Shelf Only
2888018,OPC-1836-2-95,"2 Shelf Order Picking Cart with writing surface & 1-1/2"" (38mm) lip to retain paper and pens "
2888002,MTM243630-2K295,Mobile Medium Duty Machine Tables - 2 Shelves
2888038,PM-2831-CR-95,Panel Movers 
2887934,MSB6-2036-95,6 Opening Mobile Storage Bin
2888074,RIC-3048-2-95,2 Shelf Rolling Instrument Cart 
2887998,MTM183630-2K395,Mobile Medium Duty Machine Tables - 3 Shelves
2888034,PAT-24-4-14-95,"Pan & Tray Truck with 4""(102mm) spacing between trays"
2888070,RIC-243650-3-95,3 Shelf Rolling Instrument Cart
2888086,RSC-1836-3-95,3 Shelf Stock Carts
2888078,RSC12-1830-2-95,2 Shelf Stock Carts with 12 Lips Up
2888098,RSC-2436-3-3K-95,3 Shelf Stock Carts
2888102,RSC-2436-5-3K-95,5 Shelf Stock Cart
2888118,RSC-3036-2-PB-2DR-95,nan
2888082,RSC-1830-3-95,3 Shelf Stock Carts
2888110,RSC-2448-3-3K-95,3 Shelf Stock Carts
2888106,RSC-2436-BLP-64-220-95,Heavy Duty Bin Service Carts
2888090,RSC-1848-3-95,3 Shelf Stock Carts
2888114,RSC-2448-4-LD-95,4 Shelf Stock Cart with lips down 
2888142,RSC6-1836-2-95,2 Shelf Stock Carts with 3 Lips Up
2888134,RSC3-1830-2-95,2 Shelf Stock Carts with 3 Lips Up 
2888126,RSC-3060-2-95,2 Shelf Stock Cart
2888170,RSCE-3048-2-TLD-95,Rolling Stock Cart with Ergonomic Handle-
2888154,RSCE-1836-2-95,Rolling Stock Cart with Ergonomic Handle
2888130,RSC-3060-4-3K-95,4 Shelf Stock Cart 
2888166,RSCE-3048-2-3.6K-95,Heavy Duty Rolling Stock Cart with Ergonomic Handle
2888162,RSCE-2448-2-3.6K-ALD-95,Heavy Rolling Stock Cart with Ergonomic Handle-
2888042,PSD-2430-4-95,nan
2888186,SFWS-392955-95,Stationary File Workstation
2888178,RSCR-2448-95,2 Shelf Stock Cart with Raised Handle (All lips Up)
2888182,RSCR-3060-95,2 Shelf Stock Cart with Raised Handle (All lips Up)
2888190,SJC-BDLP-95,nan
2888146,RSCE-1830-2-3.6K-95,Heavy Rolling Stock Cart with Ergonomic Handle
2888174,RSCE-3060-2-95,Rolling Stock Cart with Ergonomic Handle
2888202,SSC-227-NL-1795,nan
2888194,SSC-185-3S-5295,nan
2888214,SSC-722484-BDLP-264-5295,"72"" (mm: 1829) Super Wide Jumbo Cabinet with 264 Hook-On® Bins"
2888198,SSC-185-3S-NL-95,nan
2888158,RSCE-2436-2-3.6K-TLD-95,Heavy Rolling Stock Cart with Ergonomic Handle-
2888222,TRS-2430-95,"Solid Tray for use in 24"" deep models"
2888218,TR-1500-95,Open Front Style
2888210,SSC-722484-BDLP-2123S1795,"Lockable, 212 Bin Cabinet with 3 Adjustable Shelves "
2888242,WBF-TH-3672-95,nan
2888234,WBF-48120-95,nan
2888238,WBF-TH-3072-95,nan
2888226,WBF-30120-95,nan
2888246,WB-SHELF-120-95,"120"" long"
2888230,WBF-36120-95,nan
2888262,123-95,Large empty metal shell
2888294,DSH-124-95,nan
2888290,313,An optional locking hinge is offered for use with either model 290 (SPR) or 291 (LPR) to hold boxes in place when being transported in a moving vehicle. Padlock not provided.
2888306,PB30250-52,Dividers: order PB30176
2888314,010-95,"Dividers for 2-3/4"" High Drawers - 12 pack "
2888278,SP-515-95,"1/2"" rod x 15""L = 12.7mm x 381mm"
2888318,506-43-N/P,(16 Unit Horixontal) No partition.
2888334,B376-43-HIPS,(16 Unit HIPS) With fold-down polypropylene combination handle/hanger.
2888330,PB30240-52,Dividers: order PB30176
2888350,PB30210-52,Dividers: order PB30161
2888346,512G-43-N/P,24P without partition
2886912,1022S-50,FM Approved Self Closing Safety Cabinet
2886976,2210-50,16 Gauge All Welded Steel Spill Control Cart
2886916,1030ML-50,"FM Approved, 30 Gallon, manual closing, Flammable Storage Cabinet with Legs "
2887273,400-95,20 Pocket 
2887457,BCTE-2896-4K-95,8' length with 3 cradles (mm: 203)
2887537,EGCVC9-50,Vertical Cylinder Storage Cabinet - Holds 9 Cylinders
2887481,DC48-4S12DS-95,nan
2887397,533-43,"(7FX Cabinet) 2-shelf, Door pouch sold separately (Model 563-H720)."
2886904,1012ML-50,"FM Approved, 12 Gallon, manual closing, Flammable Storage Cabinet with Legs "
2888113,RSC-2448-4-3K-95,4 Shelf Stock Cart
2887689,HDC48-192-95,12 Gauge Cabinet with 192 Hook-On-Bins
2888009,MTM244830-2K295,Mobile Medium Duty Machine Tables - 2 Shelves
2887937,MT182418-2K195,Medium Duty Machine Tables - Top Shelf Only
2888017,MWSR8-LP-95,"Heavy Duty, all welded 14 gauge steel wire spool cart. Holds up to (8) metal rods to accommodate spools of varying sizes. (Shelves and Hook-On Bins are available as an accessories, are NOT included)"
2888209,SSC-602484-BDLP-95,nan
2887821,HET-2448-2-95,nan
2888289,312,Plated locking hinge with swivel padlock attachment is available for models 303 (4LR) and 310 (4LR-TT) to lock drawers into the racks and hold them securely in place. They have mounted holes and can be easily installed using sheet metal screws or pop rive
2887917,LPW-17.25X20-95,Wall Mountable Louvered Panel
2888301,PB30176-08,Divider (Vertical)
2887877,JC-171-95,nan
2887433,740-95,"Fully hemmed 1-1/8""(29mm) bin fronts to hold labels and retain parts"
2888353,PB30220-52,Dividers: order PB30166
2888329,PB30240-21,Dividers: order PB30176
2886909,1016S-50,FM Approved Self Closing Safety Cabinet
2888305,PB30250-21,Dividers: order PB30176
2887705,HDC72-240-95,12 Gauge Cabinet with 240 Hook-On-Bins
2886985,2211-DLP-RM-10B-95,nan
2886905,1012S-50,FM Approved Self Closing Safety Cabinet 
2887125,3501-BDLP-95,nan
2887169,3602-95,14 Gauge Cabinet with
2887109,3500-HDL-95,nan
2887434,745-95,"Fully hemmed 1-1/8""(29mm) bin fronts to hold labels and retain parts"
2887602,FDC-SH-6018-95,nan
2887430,725-95,"Fully hemmed 1-1/8""(29mm) bin fronts to hold labels and retain parts"
2887598,FDC-SH-3618-95,nan
2887810,HDWB-3672-95,nan
2887942,MT183630-2K295,Medium Duty Machine Tables - 2 Shelves
2887606,FS-SH-1419,nan
2888014,MTM304836-3K295,Mobile Heavy Duty Machine Tables - 2 Shelves
2888022,OPC-2448-2-95,"2 Shelf Order Picking Cart with writing surface & 1-1/2"" (38mm) lip to retain paper and pens "
2887870,HWBMT-367230-95,Extra Heavy Duty Machine Tables - Top shelf Only
2888026,OPT-3624-95,nan
2888030,OPT-6030-95,nan
2887958,MT246030-2K295,Medium Duty Machine Tables - 2 Shelves
2887946,MT243630-2K195,Medium Duty Machine Tables - Top Shelf Only
2888298,PB30166-08,Divider (Vertical)
2888122,RSC-3048-3-3K-TLD-95,3 Shelf Stock Carts
2888138,RSC3-2448-2-3.6K-95,2 Shelf Stock Carts with 3 Lips Up
2887954,MT244830-2K295,Medium Duty Machine Tables - 2 Shelves
2888206,SSC-602484-4S-95,nan
2888302,PB30177-08,Divider (Horizontal)
2888094,RSC-2436-2-3K-TLD-95,2 Shelf Stock Cart with Ergonomic Handle-
2888326,PB30230-21,Dividers: order PB30171
2888354,501-43,(6 Unit)
2888382,542-43,(Snake Bite Kit Box) Molded of polypropylene. Lightweight and sturdy one piece construction.
2887510,DWB-3060-BE-LP-95,Heavy Duty Workbench with 60W x 24H Louvered Back Panel for use with HOOK-ON BINS®
