id,catalog_number,description,main_image
108742,DC1026,DIXON DC1026 1/2X3/4 F NPT AIR CHIEF CPLR,
108741,DC1023,DIXON DC1023 1/2X3/8 F NPT AIR CHIEF CPLR,
108739,DC10,DIXON DC10 1/2 X 1/2 F NPT AIR CHIEF CPLR,
108692,DBA11-200,"DIXON DBA11-200 2\DRY DISCONNECT ADAPTER ALUM""",
108691,DBA11-150,"DIXON DBA11-150 1 1/2\AL DRY DISCONNECT ADAPTER W/""",
108672,D825Y100RAF,"DIXON D825Y100RAF 2 1/2\ 800# DOUBLE JACKET ALL""",
108671,D825100RBF,"DIXON D825100RBF 2 1/2\ 100 4525 DJ RL BR NST""",
108670,D825100RAS,"DIXON D825100RAS 2 1/2\ 100 4525 DJ AL RL NPSH""",
108669,D825100RAF,"DIXON D825100RAF 2 1/2\ 100 4525 DJ RL AL NST""",
108668,D825100PBF,"DIXON D825100PBF 2-1/2\ 100 DJ 800# COUPLED WITH""",
108667,D825-50RBF,"DIXON D825-50RBF 2 1/2\ 50 800# DJ RL BR NST""",
108666,D825-50RAS,"DIXON D825-50RAS 2 1/2\ 50 800# DL RL AL NPSH""",
108664,D825-50PBF,DIXON D825-50PBF 2 1/2 X 50 4525 DJ NST PL BR,
108663,D825-25RAF,"DIXON D825-25RAF 2 1/2\ X 25 4525 800# DJ RL AL NST""",
108661,D815Y100RAF,"DIXON D815Y100RAF 2 1/2\ 800# DOUBLE JACKET ALL""",
108660,D815100RBF,"DIXON D815100RBF 1 1/2\ 100 800# DJ RL BR NST""",
108659,D815100RAS,"DIXON D815100RAS 1 1/2\ 100 800# DJ RL AL NPSH""",
108658,D815100RAF,"DIXON D815100RAF 1 1/2\ 100 800# DJ RL AL NST""",
108657,D815100PBF,"DIXON D815100PBF 1 1/2\ 100 800# DJ PL BR NST""",
108656,D815-50RBF,"DIXON D815-50RBF 1 1/2\ 50 800# DJ RL BR NST""",
108655,D815-50RAS,"DIXON D815-50RAS 1 1/2\ 50 800# DJ RL AL NPSH""",
108654,D815-50RAF,DIXON D815-50RAF 1 1/2 X 50 4515 D.J. NST RL AL,
108653,D815-50PBF,DIXON D815-50PBF 1 1/2 X 50 4515 DJ NST PL BR,
108652,D815-25RAF,"DIXON D815-25RAF 1 1/2\ DJ 25 RL AL NST""",
108588,CSM600,"DIXON CSM600 6\ STEEL SUCTION COUPLING""",
108587,CSM400,"DIXON CSM400 4\ STEEL SUCTION COUPLING""",
108586,CSM300,"DIXON CSM300 3\ STEEL SUCTION COUPLING""",
108585,CSM250,DIXON CSM250 2 1/2 STEEL SUCTION COUPLING,
108584,CSM200,"DIXON CSM200 2\ STEEL SUCTION COUPLING""",
108582,CSM150,DIXON CSM150 1 1/2 STEEL SUCTION COUPLING,
108581,CSM125,DIXON CSM125 1 1/4 STEEL SUCTION COUPLING,
108576,CSB600,"DIXON CSB600 6\ STL SUCTION CPLG NPSM THRD""",
108575,CSB400,"DIXON CSB400 4\ STL SUCTION CPLG NPSM THRD""",
108574,CSB300,"DIXON CSB300 3\ STL SUCTION CPLG NPSM THRD""",
108573,CSB250,DIXON CSB250 2 1/2 STL SUCTION CPLG NPSM THRD,
108572,CSB200,"DIXON CSB200 2\ STL SUCTION CPLG NPSM THRD""",
108571,CSB150,DIXON CSB150 1 1/2 STL SUCTION CPLG NPSM THRD,
108570,CSB125,DIXON CSB125 1 1/4 STL SUCTION CPLG NPSM THRD,
108560,CR-C,DIXON CR-C COOLANT RECEIVER WITH CAP,
108537,CN-P,DIXON CN-P COOLANT NOZZLE WITH PLUG,
108529,CILR400,"DIXON CILR400 4\ SANITARY I-LINE""",
108528,CILR300,"DIXON CILR300 3\ SANITARY I-LINE""",
108527,CILR200,DIXON CILR200 2 SANITARY I-LINE,
108526,CILR150,DIXON CILR150 1 1/2 SANITARY I-LINE,
108504,CC3850,DIXON CC3850 3/8 MALE X 50 FT LONG,
108503,CC3825,DIXON CC3825 3/8 MALE X 25 FT LONG,
108501,CC1450,DIXON CC1450 1/4 MALE X 50 FT LONG,
108500,CC1425,DIXON CC1425 1/4 MALE X 25 FT LONG,
108499,CC1412,DIXON CC1412 1/4 MALE X 12 FT LONG,
108498,CC14100B,"DIXON CC14100B 1/4\X100 BULK COIL HOSE""",
108497,CC1250,DIXON CC1250 1/2 MALE X 50 FT LONG,
108496,CC1225,DIXON CC1225 1/2 MALE X 25 FT LONG,
108493,CBSR400,"DIXON CBSR400 4\ SANITARY BEVEL SEAT FEMALE""",
108484,CBB400,DIXON CBB400 4 BRASS SUCTION HOSE CPLG,
108483,CBB300,DIXON CBB300 3 BRASS SUCTION HOSE CPLG,
108482,CBB250,DIXON CBB250 2 1/2 BRASS SUCTION HOSE CPLG,
108481,CBB200,DIXON CBB200 2 BRASS SUCTION HOSE CPLG,
108480,CBB150,DIXON CBB150 1 1/2 BRASS SUCTION HOSE CPLG,
108479,CBB125,DIXON CBB125 1 1/4 BRASS SUCTION HOSE CPLG,
108477,CB6-04MGMB,DIXON CB6-04MGMB 1/2 F/R MANUAL DRAIN METAL BOWL,
108476,CB6-04MG,DIXON CB6-04MG 1/2 F/R MANUAL DRAIN GAUGE,
108473,CB6-04AGMB,DIXON CB6-04AGMB 1/2 F/R AUTO DRN MTL BWL GAUGE,
108472,CB6-04AG,DIXON CB6-04AG 1/2 F/R AUTO DRAIN GAUGE,
108469,CB6-03MGMB,DIXON CB6-03MGMB 3/8 F/R MANUAL DRAIN METAL BOWL,
108468,CB6-03MG,DIXON CB6-03MG 3/8 F/R MANUAL DRAIN GAUGE,
108466,CB6-03AGMB,DIXON CB6-03AGMB 3/8 F/R AUTO DRAIN METAL BOWL GAUGE,
108465,CB6-03AG,DIXON CB6-03AG 3/8 F/R AUTO DRAIN GAUGE,
108462,CB6-02MGMB,DIXON CB6-02MGMB 1/4 F/R MANUAL DRAIN METAL BOWL,
108461,CB6-02MG,DIXON CB6-02MG 1/4 F/R MANUAL DRAIN GAUGE,
108445,CAB600,"DIXON CAB600 6\ ALUM CPLG W/ BRASS NUT""",
108444,CAB400,"DIXON CAB400 4\ ALUM CPLG W/BRASS NUT""",
108443,CAB300,"DIXON CAB300 3\ ALUM CPLG W/ BRASS NUT""",
108441,CAB250,DIXON CAB250 2 1/2 ALUM CPLG W/BRASS NUT,
108440,CAB200,"DIXON CAB200 2\ ALUM CPLG W/BRASS NUT""",
108438,CAB150,DIXON CAB150 1 1/2 ALUM CPLG W/BRASS NUT,
108437,CA37118L,DIXON CA37118L CONTINUOUS FLOW HOSE REEL WITH,
108428,C33112L,"DIXON C33112L MANUAL REEL 100 3/4\ CAPACITY""",
108427,C32112M,"DIXON C32112M MANUAL REEL 200 1/2\ CAPACITY""",
108426,C31-08MMB,"DIXON C31-08MMB 1\ MANUAL DRAIN JUMBO FRL""",
108422,C31-06MMB,DIXON C31-06MMB 3/4 MANUAL DRAIN JUMBO FRL,
108420,C31-06AMB,DIXON C31-06AMB 3/4 AUTO DRAIN JUMBO FRL,
108418,C26-04MMB,DIXON C26-04MMB 1/2 MANUAL DRAIN FRL,
108417,C26-04M,DIXON C26-04M 1/2 MANUAL DRAIN STANDARD FRL,
108416,C26-04AMB,DIXON C26-04AMB 1/2 AUTO DRAIN FRL,
108415,C26-04A,DIXON C26-04A 1/2 AUTO DRAIN STANDARD FRL,
108414,C26-03MMB,DIXON C26-03MMB 3/8 MANUAL DRAIN FRL,
108413,C26-03M,DIXON C26-03M 3/8 MANUAL DRAIN STANDARD FRL,
108412,C26-03AMB,DIXON C26-03AMB 3/8 AUTO DRAIN FRL,
108411,C26-03A,DIXON C26-03A 3/8 AUTO DRAIN STANDARD FRL,
108410,C26-02MMB,DIXON C26-02MMB 1/4 MANUAL DRAIN FRL,
108409,C26-02M,DIXON C26-02M 1/4 MANUAL DRAIN STANDARD FRL,
108408,C26-02AMB,DIXON C26-02AMB 1/4 AUTO DRAIN FRL,
108407,C26-02A,DIXON C26-02A 1/4 AUTO DRAIN STANDARD FRL,
108399,C16-04MMB,DIXON C16-04MMB 1/2 MANUAL DRAIN COMPACT FRL,
108398,C16-04M,DIXON C16-04M 1/2 MANUAL DRAIN COMPACT FRL,
108397,C16-04AMB,DIXON C16-04AMB 1/2 AUTO DRAIN COMPACT FRL,
108396,C16-04A,"DIXON C16-04A 1/2\ COMPACT AUTO DRAIN FRL""",
108395,C16-03MMB,DIXON C16-03MMB 3/8 MANUAL DRAIN COMPACT FRL,
108394,C16-03M,"DIXON C16-03M 3/8\ MANUAL DRAIN COMPACT FRL""",
108393,C16-03AMB,DIXON C16-03AMB 3/8 AUTO DRAIN COMPACT FRL,
108392,C16-03A,"DIXON C16-03A 3/8\ COMPACT AUTO DRAIN FRL""",
108391,C16-02MMB,"DIXON C16-02MMB 1/4\ MANUAL DRAIN CMPACT FRL""",
108390,C16-02M,"DIXON C16-02M 1/4\ MANUAL DRAIN COMPACT FRL""",
108389,C16-02AMB,DIXON C16-02AMB 1/4 AUTO DRAIN COMPACT FRL,
108368,C119-04A,"DIXON C119-04A 1/2\ WATTS STANDARD AUTO COMBO""",
108365,C11-03M,"DIXON C11-03M 3/8\ WATTS MANUAL COMPACT COMBO""",
108364,C11-03A,"DIXON C11-03A 3/8\ WATTS AUTO COMPACT COMBO""",
108363,C11-02M,"DIXON C11-02M 1/4\ WATTS MANUAL COMPACT COMBO""",
108361,C08-02MMB,DIXON C08-02MMB 1/4 MINI FRL MAN DRAIN METAL BOWL,
108360,C08-02M,DIXON C08-02M 1/4 MINI FRL MAN DRAIN TRANSP BOWL,
108359,C08-02AMB,DIXON C08-02AMB 1/4 MINI FRL AUTO DRAIN METAL BOWL,
108358,C08-02A,DIXON C08-02A 1/4 MINI FRL AUTO DRAIN TRANSP BOWL,
108357,C08-01MMB,DIXON C08-01MMB 1/8 MINI FRL MAN DRAIN METAL BOWL,
108356,C08-01M,DIXON C08-01M 1/8 MINI FRL MAN. DRAIN TRANSP BOWL,
108355,C08-01AMB,DIXON C08-01AMB 1/8 MINI FRL AUTO DRAIN METAL BOWL,
108354,C08-01A,DIXON C08-01A 1/8 MINI FRL AUTO DRAIN TRANSP BOWL,
108353,C03-02MMB,DIXON C03-02MMB 1/4 MINI FRL MANUAL DRAIN METAL,
108352,C03-02M,DIXON C03-02M 1/4 MINI COMBO MANUAL DRAIN,
108351,C03-02AMB,DIXON C03-02AMB 1/4 MINI FRL AUTO DRAIN METAL BOWL,
108350,C03-02A,DIXON C03-02A 1/4 MINI COMBO AUTO DRAIN,
108349,C03-01MMB,DIXON C03-01MMB 1/8 MINI FRL MANUAL DRAIN METAL,
108348,C03-01M,DIXON C03-01M 1/8 MINI COMBO MANUAL DRAIN,
108347,C03-01AMB,DIXON C03-01AMB 1/8 MINI FRL AUTO DRAIN METAL BOWL,
108346,C03-01A,DIXON C03-01A 1/8 MINI COMBO AUTO DRAIN,
108337,BVFS25,"DIXON BVFS25 2\ BRASS CHECK VALVE WITH STRAINER""",
108336,BVFS20,"DIXON BVFS20 1 1/2\BRASS CHECK VALVE W/STRAINER""",
108324,BV2IG-15011-EA,"DIXON BV2IG-15011-EA 1.5\ 3-PC BV 115VAC ACT.""",
108323,BV2IG-12511-EA,"DIXON BV2IG-12511-EA 1.25\ 3-PC BV 115VAC ACT.""",
108320,BV2IG-05011-EA,"DIXON BV2IG-05011-EA 1/2\ 3-PC BV 115VAC ACT.""",
108319,BV2CV-400CC-A,"DIXON BV2CV-400CC-A 4\ 2 WAY ENCAP BV PTFE CXC""",
108318,BV2CV-300CC-A,"DIXON BV2CV-300CC-A 3\ 2 WAY ENCAP BV PTFE CXC""",
108317,BV2CV-250CC-A,"DIXON BV2CV-250CC-A 2.5\ 2 WAY ENCAP BV PTFE CXC""",
108316,BV2CV-200CC-A,"DIXON BV2CV-200CC-A 2\ 2 WAY ENCAP BV PTFE CXC""",
108315,BV2CV-150CC-A,"DIXON BV2CV-150CC-A 1.5\ 2 WAY ENCAP BV PTFE CXC""",
108314,BV2CV-100CC-A,"DIXON BV2CV-100CC-A 1\ 2 WAY ENCAP BV PTFE CXC""",
108313,BV2CV-075CC-A,"DIXON BV2CV-075CC-A .75\ 2 WAY ENCAP BVPTFECXC""",
108312,BV2CV-050CC-A,"DIXON BV2CV-050CC-A .50\ 2 WAY ENCAP BVPTFECXC""",
108311,BV2BV-30011-EA,"DIXON BV2BV-30011-EA 3\ BRASS BV 115VAC ACT.""",
108310,BV2BV-20011-EA,"DIXON BV2BV-20011-EA 2\ BRASS BV 115VAC ACT.""",
108309,BV2BV-15011-EA,"DIXON BV2BV-15011-EA 1.5\ BRASS BV 115VAC ACT.""",
108308,BV2BV-12511-EA,"DIXON BV2BV-12511-EA 1.25\ BRASS BV 115VAC ACT.""",
108307,BV2BV-10011-EA,"DIXON BV2BV-10011-EA 1\ BRASS BV 115VAC ACT.""",
108305,BV2BV-05011-EA,"DIXON BV2BV-05011-EA 1/2\ BRASS BV 115VAC ACT.""",
108288,BST5,DIXON BST5 3/4 BRASS KING NIPPLES,
108287,BST40,DIXON BST40 4 BRASS KING NIPPLE,
108286,BST35,DIXON BST35 3 BRASS KING NIPPLES,
108285,BST30,DIXON BST30 2 1/2 BRASS KING NIPPLES,
108284,BST25,"DIXON BST25 2\ BRASS KING NIPPLES""",
108283,BST20,DIXON BST20 1 1/2 BRASS KING NIPPLES,
108282,BST15,DIXON BST15 1 1/4 BRASS KING NIPPLES,
108281,BST10,DIXON BST10 1 BRASS KING NIPPLES,
108280,BST1,DIXON BST1 1/2 BRASS KING NIPPLES,
108279,BSS62-200,"DIXON BSS62-200 2\ BAYONET TYPE DRY DISCONNECT COUP""",
108278,BSS61-200,"DIXON BSS61-200 2\ BAYONET TYPE DRY DISCONNECT COUP""",
108257,BS93N,DIXON BS93N BRASS 2 1/2 NST THRD,
108256,BS848,"DIXON BS848 1\ BRASS FEM SHORT SHANK""",
108253,BS646,DIXON BS646 3/4 BRASS FEM SHORT SHANK,
108252,BS63N,DIXON BS63N NST THRD 1 1/2 ALL BRASS,
108247,BS546,DIXON BS546 5/8 BRASS FEM SHORT SHANK,
108241,BS32N,DIXON BS32N FEM HALF,
108240,BS301,DIXON BS301 MALE BRASS,
108239,BS22N,DIXON BS22N 1 1/2 FEM BRASS,
108238,BS201,DIXON BS201 1 1/2 BRASS MALE,
108099,BPF21,DIXON BPF21 LOK-ON NPTF FEM HOSE BARB 1/4 X,
108053,BN32RU62,DIXON BN32RU62 3/8 X 1/4 X 5/8 BRASS REUSABLE MALE,
107943,BL064,DIXON BL064 1 1/2 BALL NOZZLE W/ SWIVEL ADAPT,
107942,BL062,DIXON BL062 1 1/4 BALL NOZZLE W/ SWIVEL ADAPT,
107930,BHSC34,"DIXON BHSC34 3\ HANDLE ASSY W/ 300PRSCCS""",
107929,BHSC175,"DIXON BHSC175 1\ HANDLE ASSY W/ 100PRSCSS""",
107928,BHSC152,"DIXON BHSC152 2\ HANDLE ASSY W/ 200PRSCCS""",
107924,BH300EZ,"DIXON BH300EZ 3\ BRASS EZ DUST CAP""",
107921,BH200EZ,"DIXON BH200EZ 2\ BRASS EZ H FEM CPLR CAP""",
107919,BH150EZ,"DIXON BH150EZ 1 1/2\ EZ DUST CAP IN BRASS""",
107916,BH100EZ,"DIXON BH100EZ 1\BRASS EZ H FEM COUPLER CAP""",
107877,BFVW600,"DIXON BFVW600 WAFER STYLE 6\ BUTTERFLY VALVE""",
107876,BFVW400,"DIXON BFVW400 WAFER STYLE 4\ BUTTERFLY VALVE""",
107875,BFVW300,"DIXON BFVW300 WAFER STYLE 3\ BUTTERFLY VALVE""",
107874,BFVW200,"DIXON BFVW200 WAFER STYLE 2\ BUTTERFLY VALVE""",
107857,BFS66,DIXON BFS66 3/4 X 3/4 NPT FEMALE SWIVEL,
107856,BFS44,DIXON BFS44 1/2 X 1/2 NPT FEMALE SWIVEL,
107855,BFS43,DIXON BFS43 NPSM SWIV HBB 1/2 X 3/8-100,
107854,BFS34,DIXON BFS34 NPSM FEM SWIV HB 3/8 X 1/2-50,
107853,BFS33,DIXON BFS33 3/8 X 3/8 NPT FEMALE SWIVEL,
107852,BFS32,DIXON BFS32 3/8 X 1/4 NPT FEM SWIVEL,
107851,BFS253,DIXON BFS253 NPSM F SWIV HB 5/16 X 3/8-100,
107850,BFS252,DIXON BFS252 5/16 X 1/4 NPT FEMALE SWIVEL,
107847,BFS23,DIXON BFS23 1/4 X 3/8 NPT FEM SWIVEL,
107846,BFS22,DIXON BFS22 1/4 X 1/4 NPT FEM SWIVEL,
107845,BFS21,DIXON BFS21 1/4 X 1/8 NPT FEM SWIVEL,
107844,BFS152,DIXON BFS152 3/16 X 1/4 NPT FEMALE SWIVEL,
107843,BFS151,DIXON BFS151 3/16 X 1/8 NPT FEMALE SWIVEL,
107840,BFS11,DIXON BFS11 1/8 X 1/8 NPT FEMALE SWIVEL,
107833,BFNE150NST,DIXON BFNE150NST BRASS FIRE NOZZLE ELEC 1 1/2 NST,
107750,BD400EZ,"DIXON BD400EZ 4\ BRASS EZ CPLR X FEM THREAD""",
107748,BD300EZ,"DIXON BD300EZ 3\ BRASS EZ CPLR X FEM THREAD""",
107746,BD250EZ,"DIXON BD250EZ 2 1/2\ EZ BRASS CPLR X FEM NPT""",
107744,BD200EZ,"DIXON BD200EZ 2\ BR EZ CPLR X FNPT""",
107742,BD150EZ,DIXON BD150EZ 1 1/2 BRASS EZ CPLRX F NPT,
107740,BD125EZ,"DIXON BD125EZ 1 1/4\ EZ BRASS CPLR X FEM NPT""",
107738,BD100EZ,DIXON BD100EZ 1 BRASS EZ CPLR X F NPT,
107736,BD075EZ,DIXON BD075EZ 3/4 BRASS EZ CPLR,
107722,BCM76,DIXON BCM76 3/4 SHANK BY GHT MALE,
107721,BCM75,DIXON BCM75 5/8 SHANK BY GHT MALE,
107720,BCM74,DIXON BCM74 1/2 SHANK BY GHT MALE,
107719,BCM73,DIXON BCM73 3/8 SHANK BY GHT MALE,
107709,BC400EZ,"DIXON BC400EZ 4\ BRASS EZ CPLR X HOSE SHANK""",
107707,BC300EZ,"DIXON BC300EZ 3\ BRASS EZ CPLR X HOSE SHANK""",
107704,BC200EZ,"DIXON BC200EZ 2\ BRASS EZ CPLR X HOSE SHANK""",
107702,BC150EZ,DIXON BC150EZ 1 1/2 BRASS EZ CPLR X HOSE SHANK,
107700,BC125EZ,"DIXON BC125EZ 1 1/4\ BRASS EZ CPLR X HOSE SHANK""",
107698,BC100EZ,"DIXON BC100EZ 1\ BRASS EZ CPLR X HOSE SHANK""",
107696,BC075EZ,"DIXON BC075EZ 3/4\ BRASS EZ CPLR X HOSE SHANK""",
107691,BBV75SR,"DIXON BBV75SR 3/4\ SPRING RETURN HANDLE VALVE""",
107683,BBV50SR,"DIXON BBV50SR 1/2\ SPRING RETURN HANDLE VALVE""",
107669,BBV200SR,"DIXON BBV200SR 2\ BRONZE DEADMAN VALVE""",
107664,BBV150SR,"DIXON BBV150SR 1 1/2\ SPRING RETURN BALLVALVE""",
107650,BBV100SR,"DIXON BBV100SR 1\ SPRING RETURN HANDLE VALVE""",
107615,BB3-02MGMB,"DIXON BB3-02MGMB MINI 1/4\METAL BOWL W/MANUAL DRAIN""",
107614,BB3-02MG,"DIXON BB3-02MG 1/4\ MANUAL DRAIN FILT/REG TRANS""",
107611,BB3-02AGMB,"DIXON BB3-02AGMB MINI 1/4\METAL BOWL W/AUT DRAIN""",
107610,BB3-02AG,"DIXON BB3-02AG MINI 1/4\ TRANSP.BOWL W/AUT DRAIN""",
107607,BB3-01MGMB,"DIXON BB3-01MGMB MINI 1/8\METAL BOWL W/MANUAL DRAIN""",
107606,BB3-01MG,"DIXON BB3-01MG MINI 1/8\TRANSP.BOWL W/MANUAL""",
107602,BB3-01AG,"DIXON BB3-01AG MINI 1/8\ TRANSP.BOWL W/AUT. DRAIN""",
107404,B74G-6MG-MB,DIXON B74G-6MG-MB 3/4 F/R MANUAL DRAIN METAL BOWL,
107403,B74G-6MG,DIXON B74G-6MG 3/4 F/R MAN DRAIN TRANSP BOWL W/,
107400,B74G-6AG-MB,DIXON B74G-6AG-MB 3/4 F/R AUTO DRAIN METAL BOWL,
107399,B74G-6AG,DIXON B74G-6AG 3/4 F/R AUTO DRAIN TRANSP BOWL W/GA,
107396,B74G-4MG-MB,DIXON B74G-4MG-MB 1/2 F.R MANUAL DRAIN METAL BOWL,
107395,B74G-4MG,DIXON B74G-4MG 1/2 F/R MANUAL DRAIN TRANSP BOWL W/,
107392,B74G-4AG-MB,DIXON B74G-4AG-MB 1/2 F/R AUTO DRAIN METAL BOWL,
107391,B74G-4AG,DIXON B74G-4AG 1/2 F/R AUTO DRAIN TRANSP BOWL W/GA,
107388,B74G-3MG-MB,DIXON B74G-3MG-MB 3/8 F/R MANUAL DRAIN METAL BOWL,
107387,B74G-3MG,DIXON B74G-3MG 3/8 F/R MANUAL DRAIN TRANSPARENT,
107384,B74G-3AG-MB,DIXON B74G-3AG-MB 3/8 F/R AUTO DRAIN METAL BOWL,
107383,B74G-3AG,DIXON B74G-3AG 3/8 F/R AUTO DRAIN TRANSP BOWL W/,
107381,B73G-4MG-MB,DIXON B73G-4MG-MB 1/2 FILTER/REG MAN DRAIN W/GAUGE,
107380,B73G-4MG,DIXON B73G-4MG 1/2 FILTER/REG MAN DRAIN W/GAUGE,
107378,B73G-4AG-MB,DIXON B73G-4AG-MB 1/2 FILTER/REG AUTO DRAIN W/GAUGE,
107377,B73G-4AG,"DIXON B73G-4AG 1/2\FILTER/REG AUTO DRAIN W/GAUGE""",
107375,B73G-3MG-MB,DIXON B73G-3MG-MB 3/8 FILTER/REG MAN DRAIN W/GAUGE,
107374,B73G-3MG,DIXON B73G-3MG 3/8 FILTER/REG MAN DRAIN W/GAUGE,
107372,B73G-3AG-MB,DIXON B73G-3AG-MB 3/8 FILTER/REG AUTO DRAIN W/GAUGE,
107371,B73G-3AG,DIXON B73G-3AG 3/8 FILTER/REG AUTO DRAIN W/GAUGE,
107369,B73G-2MG-MB,DIXON B73G-2MG-MB 1/4 FILTER/REG MAN DRAIN W/GAUGE,
107368,B73G-2MG,DIXON B73G-2MG 1/4 FILTER/REG MAN DRAIN W/GAUGE,
107366,B73G-2AG-MB,DIXON B73G-2AG-MB 1/4 FILTER/REG AUTO DRAIN W/GAUGE,
107365,B73G-2AG,"DIXON B73G-2AG 1/4\ FILTER/REG AUTO W/GAUGE""",
107362,B72G-3MG-MB,DIXON B72G-3MG-MB 3/8 F/R MAN METAL BOWL W/GAUGE,
107361,B72G-3MG,DIXON B72G-3MG 3/8 F/R MAN TRANSP BOWL W/GAUGE,
107358,B72G-3AG-MB,DIXON B72G-3AG-MB 3/8 F/R AUTO METAL BOWL W/GAUGE,
107357,B72G-3AG,"DIXON B72G-3AG 3/8\ AUTO 1/4\"" BASIC METAL BWL W/SI""",
107354,B72G-2MG-MB,DIXON B72G-2MG-MB 1/4 F/R MAN METAL BOWL W/GAUGE,
107353,B72G-2MG,DIXON B72G-2MG 1/4 F/R MAN TRANSP BOWL W/GAUGE,
107350,B72G-2AG-MB,DIXON B72G-2AG-MB 1/4 F/R AUTO METAL BOWL W/GAUGE,
107349,B72G-2AG,DIXON B72G-2AG 1/4 FR AUTO TRANSP. BOWL W/GAUGE,
107321,B5101V400CC-C,"DIXON B5101V400CC-C 4\BFVLVVITONCLMP ENDTRIGGER HNDL""",
107320,B5101V400CC-B,"DIXON B5101V400CC-B 4\BFVLVVITONCLMP ENDINFIN HNDLE""",
107319,B5101V400CC-A,"DIXON B5101V400CC-A 4\BF VLVVITONCLMP ENDSPULL HNDLE""",
107318,B5101V300CC-C,"DIXON B5101V300CC-C 3\BFVLVVITONCLMP ENDTRIGGER HNDL""",
107317,B5101V300CC-B,"DIXON B5101V300CC-B 3\BFVLVVITONCLMP ENDINFIN HNDLE""",
107315,B5101V250CC-C,"DIXON B5101V250CC-C 2.5\BFVLVVTIONCLMP ENDTRIGGER HN""",
107314,B5101V250CC-B,"DIXON B5101V250CC-B 2.5\BFVLVVITONCLMP ENDINFIN HNDL""",
107313,B5101V250CC-A,"DIXON B5101V250CC-A 2.5\BF VLVVITONCLMP ENDSPULL HND""",
107312,B5101V200CC-C,"DIXON B5101V200CC-C 2\BFVLVVITONCLMP ENDTRIGGER HNDL""",
107311,B5101V200CC-B,"DIXON B5101V200CC-B 2\BFVLVVITONCLMP ENDINFIN HNDLE""",
107310,B5101V200CC-A,"DIXON B5101V200CC-A 2\5101BF VLVVITONCLMP ENDPULL H""",
107309,B5101V150CC-C,"DIXON B5101V150CC-C 1.5\BFVLVVITONCLMP ENDTRIGGER HN""",
107308,B5101V150CC-B,"DIXON B5101V150CC-B 1.5\BFVLVVITONCLMP ENDINFIN HNDL""",
107306,B5101V100CC-C,"DIXON B5101V100CC-C 1\BFVLVVITONCLMP ENDSTRIGGER HND""",
107305,B5101V100CC-B,"DIXON B5101V100CC-B 1\BFVLVVTIONCLMP ENDINFIN HNDLE""",
107302,B5101S400CC-C,"DIXON B5101S400CC-C 4\ 5101 SILICONE CXC TRIGGER HND""",
107301,B5101S400CC-B,"DIXON B5101S400CC-B 4\5101SILICXC W/ INFINITE HNDLE""",
107299,B5101S300CC-C,"DIXON B5101S300CC-C 3\ 5101 SILICONE CXC TRIGGER HND""",
107298,B5101S300CC-B,"DIXON B5101S300CC-B 3\5101SILICXC W/ INFINITE HNDLE""",
107296,B5101S250CC-C,"DIXON B5101S250CC-C 2.5\ 5101 SILICONECXCTRIGGER HND""",
107295,B5101S250CC-B,"DIXON B5101S250CC-B 2.5\5101SILICXC W/ INFINITE HNDL""",
107293,B5101S200CC-C,"DIXON B5101S200CC-C 2\ 5101 SILICONE CXC TRIGGER HND""",
107292,B5101S200CC-B,"DIXON B5101S200CC-B 2\5101SILICXC W/ INFINITE HNDLE""",
107290,B5101S150CC-C,"DIXON B5101S150CC-C 1.5\ 5101SILICONECXCTRIGGER HND""",
107289,B5101S150CC-B,"DIXON B5101S150CC-B 1.5\5101SILICXC W/ INFINITE HNDLE""",
107287,B5101S100CC-C,"DIXON B5101S100CC-C 1\BF VLV W/SILIC SEAT & TRIGGER HND""",
107286,B5101S100CC-B,"DIXON B5101S100CC-B 1\5101SILICXCW/INFINITE HNDLE""",
107284,B5101E600CC-A,"DIXON B5101E600CC-A 6\ B5101 EPDMCXC STD. HANDLE""",
107283,B5101E400CC-C,"DIXON B5101E400CC-C 4\5101EPDM CXCTRIGGER HANDLE""",
107282,B5101E400CC-B,"DIXON B5101E400CC-B 4\5101 BFVLVCXCW/ INFINITE HNDLE""",
107281,B5101E400CC-A,"DIXON B5101E400CC-A 4\ B5101 EPDMCXC STD. HANDLE""",
107280,B5101E300CC-C,"DIXON B5101E300CC-C 3\5101EPDMCXC W/TRIGGER HANDLE""",
107279,B5101E300CC-B,"DIXON B5101E300CC-B 3\5101 BFVLV CXC W/ INFINITE HNDLE""",
107278,B5101E300CC-A,"DIXON B5101E300CC-A 3\ B5101 EPDMCXC STD. HANDLE""",
107277,B5101E250CC-C,"DIXON B5101E250CC-C 2.5\5101EPDMCXCTRIGGER HANDLE""",
107276,B5101E250CC-B,"DIXON B5101E250CC-B 2.5\5101 BF VLVCXC W/ INFINITE HND""",
107274,B5101E200CC-C,"DIXON B5101E200CC-C 2\ B5101 EPDM CXC TH HANDLE""",
107273,B5101E200CC-B,"DIXON B5101E200CC-B 2\5101 BF VLVCXC W/INFINITE HANDLE""",
107271,B5101E150CC-C,"DIXON B5101E150CC-C 1.5\ B5101 EPDM CXC TH HANDLE""",
107270,B5101E150CC-B,"DIXON B5101E150CC-B 1.5\5101 BFVLV CXC W/ INFINITE HND""",
